mode,code,date,grade,PT,TY,DN,DL,LK,SF,close,trigger,stop,risk,triggered_5d,entry_5d,exit_5d,exit_date_5d,stopped_5d,r_5d,triggered_10d,entry_10d,exit_10d,exit_date_10d,stopped_10d,r_10d,triggered_20d,entry_20d,exit_20d,exit_date_20d,stopped_20d,r_20d
normal,601398,2025-11-05,A,S,S,B,S,S,S,8.1400,0.0000,7.8071,0.3329,1,8.1400,8.1900,2025-11-12,0,0.1502,1,8.1400,8.2300,2025-11-19,0,0.2704,1,8.1400,8.0500,2025-12-03,0,-0.2704
normal,000858,2025-11-12,A,S,S,B,S,S,A,120.3800,0.0000,116.5600,3.8200,1,120.3800,119.8900,2025-11-19,0,-0.1283,1,120.3800,118.2600,2025-11-26,0,-0.5550,1,120.3800,116.5600,2025-12-02,1,-1.0000
normal,000858,2025-12-31,A,S,S,B,S,S,A,105.9400,0.0000,102.9829,2.9571,1,105.9400,107.1400,2026-01-09,0,0.4058,1,105.9400,105.1600,2026-01-16,0,-0.2638,1,105.9400,102.9829,2026-01-22,1,-1.0000
normal,600000,2025-12-31,A,S,S,B,A,A,A,12.4400,0.0000,11.9486,0.4914,1,12.4400,11.9486,2026-01-05,1,-1.0000,1,12.4400,11.9486,2026-01-05,1,-1.0000,1,12.4400,11.9486,2026-01-05,1,-1.0000
prebreak,601398,2025-06-03,S,S,S,C,S,A,A,7.1100,7.1400,7.0100,0.1300,1,7.1400,7.1000,2025-06-10,0,-0.3077,1,7.1400,7.1700,2025-06-17,0,0.2308,1,7.1400,7.6600,2025-07-01,0,4.0000
prebreak,600000,2025-06-10,S,S,A,C,S,S,A,12.3600,12.5600,12.0800,0.4800,1,12.5600,12.5400,2025-06-17,0,-0.0417,1,12.5600,13.3100,2025-06-24,0,1.5625,1,12.5600,14.2300,2025-07-08,0,3.4792
prebreak,601398,2025-06-10,S,S,S,C,S,A,A,7.1000,7.2000,7.0300,0.1700,0,0.0000,0.0000,,0,0.0000,1,7.2000,7.6300,2025-06-24,0,2.5294,1,7.2000,7.7600,2025-07-08,0,3.2941
prebreak,600000,2025-06-17,S,S,S,C,S,A,A,12.5400,12.6800,12.1900,0.4900,1,12.6800,13.3100,2025-06-24,0,1.2857,1,12.6800,14.1800,2025-07-01,0,3.0612,1,12.6800,13.9300,2025-07-15,0,2.5510
prebreak,601398,2025-06-17,S,S,S,C,S,A,A,7.1700,7.1800,7.0100,0.1700,1,7.1800,7.6300,2025-06-24,0,2.6471,1,7.1800,7.6600,2025-07-01,0,2.8235,1,7.1800,7.8000,2025-07-15,0,3.6471
prebreak,601398,2025-06-24,S,S,S,C,S,A,A,7.6300,7.3900,7.0100,0.3800,1,7.3900,7.6600,2025-07-01,0,0.7105,1,7.3900,7.7600,2025-07-08,0,0.9737,1,7.3900,7.6000,2025-07-22,0,0.5526
prebreak,000001,2025-07-01,S,S,S,C,S,A,A,12.3000,12.1000,11.6300,0.4700,1,12.1000,12.6900,2025-07-08,0,1.2553,1,12.1000,12.7300,2025-07-15,0,1.3404,1,12.1000,12.3400,2025-07-29,0,0.5106
prebreak,000858,2025-07-01,A,S,S,C,A,A,A,118.6300,120.8800,118.0400,2.8400,0,0.0000,0.0000,,0,0.0000,1,120.8800,125.0000,2025-07-15,0,1.4507,1,120.8800,123.5200,2025-07-29,0,0.9296
prebreak,601398,2025-07-01,S,S,S,C,S,S,A,7.6600,7.7800,7.4100,0.3700,1,7.7800,7.7600,2025-07-08,0,-0.0541,1,7.7800,7.8000,2025-07-15,0,0.0541,1,7.7800,7.4300,2025-07-29,0,-0.9459
prebreak,000001,2025-07-08,S,S,S,C,S,S,S,12.6900,12.8700,12.2100,0.6600,1,12.8700,12.7300,2025-07-15,0,-0.2121,1,12.8700,12.4900,2025-07-22,0,-0.5758,1,12.8700,12.2100,2025-08-01,1,-1.0000
prebreak,000858,2025-07-08,S,S,S,C,A,S,A,120.7800,121.1100,118.2700,2.8400,1,121.1100,125.0000,2025-07-15,0,1.3697,1,121.1100,125.5300,2025-07-22,0,1.5563,1,121.1100,121.9500,2025-08-05,0,0.2958
prebreak,601398,2025-07-08,S,S,S,C,S,S,A,7.7600,7.8000,7.5800,0.2200,1,7.8000,7.8000,2025-07-15,0,0.0000,1,7.8000,7.5800,2025-07-22,1,-1.0000,1,7.8000,7.5800,2025-07-22,1,-1.0000
prebreak,000001,2025-07-15,S,S,S,C,S,S,S,12.7300,12.9300,12.2600,0.6700,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,000858,2025-07-15,A,A,S,C,A,S,A,125.0000,125.7900,120.2500,5.5400,1,125.7900,125.5300,2025-07-22,0,-0.0469,1,125.7900,123.5200,2025-07-29,0,-0.4097,1,125.7900,123.1900,2025-08-12,0,-0.4693
prebreak,600000,2025-07-15,B,S,A,C,A,A,A,13.9300,14.3700,13.7200,0.6500,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,601398,2025-07-15,S,S,S,C,S,S,A,7.8000,7.9500,7.5800,0.3700,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,000001,2025-07-22,S,S,A,C,S,S,S,12.4900,12.7900,12.3000,0.4900,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,000858,2025-07-22,S,S,S,C,A,S,A,125.5300,126.3600,121.6200,4.7400,1,126.3600,123.5200,2025-07-29,0,-0.5992,1,126.3600,121.6200,2025-07-31,1,-1.0000,1,126.3600,121.6200,2025-07-31,1,-1.0000
prebreak,600000,2025-07-22,B,S,A,C,A,A,A,13.2300,13.6800,13.1700,0.5100,0,0.0000,0.0000,,0,0.0000,1,13.6800,13.7500,2025-08-05,0,0.1373,1,13.6800,13.6900,2025-08-19,0,0.0196
prebreak,601398,2025-07-22,S,S,S,C,S,A,A,7.6000,7.8400,7.5400,0.3000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,1,7.8400,7.5400,2025-08-15,1,-1.0000
prebreak,000001,2025-07-29,S,S,S,C,S,S,S,12.3400,12.6600,12.3000,0.3600,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,000858,2025-07-29,S,S,S,C,A,S,A,123.5200,127.1300,121.7600,5.3700,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,1,127.1300,129.7400,2025-08-26,0,0.4860
prebreak,601398,2025-07-29,S,S,S,C,S,A,A,7.4300,7.7500,7.4200,0.3300,1,7.7500,7.7600,2025-08-05,0,0.0303,1,7.7500,7.7800,2025-08-12,0,0.0909,1,7.7500,7.5500,2025-08-26,0,-0.6061
prebreak,000001,2025-08-05,S,S,S,C,S,S,S,12.4700,12.6700,12.1300,0.5400,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,000858,2025-08-05,A,S,A,C,A,S,A,121.9500,125.4000,120.1500,5.2500,0,0.0000,0.0000,,0,0.0000,1,125.4000,124.4100,2025-08-19,0,-0.1886,1,125.4000,128.5600,2025-09-02,0,0.6019
prebreak,601398,2025-08-05,S,S,S,C,S,A,S,7.7600,7.8000,7.3900,0.4100,1,7.8000,7.7800,2025-08-12,0,-0.0488,1,7.8000,7.5700,2025-08-19,0,-0.5610,1,7.8000,7.3900,2025-08-28,1,-1.0000
prebreak,000001,2025-08-12,S,S,S,C,S,A,S,12.3300,12.5600,12.2500,0.3100,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,000858,2025-08-12,S,S,S,C,A,S,A,123.1900,125.5800,121.2500,4.3300,1,125.5800,124.4100,2025-08-19,0,-0.2702,1,125.5800,129.7400,2025-08-26,0,0.9607,1,125.5800,128.8000,2025-09-09,0,0.7436
prebreak,601398,2025-08-12,S,S,S,C,S,A,S,7.7800,7.9200,7.6500,0.2700,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,000001,2025-08-19,S,S,S,C,A,S,A,12.0600,12.4200,11.9200,0.5000,1,12.4200,12.3600,2025-08-26,0,-0.1200,1,12.4200,11.9200,2025-09-01,1,-1.0000,1,12.4200,11.9200,2025-09-01,1,-1.0000
prebreak,000858,2025-08-19,A,S,S,C,A,A,A,124.4100,126.0000,121.6600,4.3400,1,126.0000,129.7400,2025-08-26,0,0.8618,1,126.0000,128.5600,2025-09-02,0,0.5899,1,126.0000,125.8000,2025-09-16,0,-0.0461
prebreak,601398,2025-08-19,S,S,S,C,A,A,S,7.5700,7.8400,7.4500,0.3900,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,000001,2025-08-26,S,S,S,C,A,S,A,12.3600,12.5600,11.9600,0.6000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,000858,2025-08-26,A,S,S,C,A,A,A,129.7400,126.7500,122.5600,4.1900,1,126.7500,128.5600,2025-09-02,0,0.4320,1,126.7500,128.8000,2025-09-09,0,0.4893,1,126.7500,122.5600,2025-09-22,1,-1.0000
prebreak,601398,2025-08-26,S,S,S,C,A,A,S,7.5500,7.6500,7.4900,0.1600,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,000001,2025-09-02,A,S,S,C,A,A,A,11.9800,12.3800,11.8200,0.5600,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,000858,2025-09-02,A,S,S,C,A,A,A,128.5600,126.7500,122.5600,4.1900,1,126.7500,128.8000,2025-09-09,0,0.4893,1,126.7500,125.8000,2025-09-16,0,-0.2267,1,126.7500,122.5600,2025-09-22,1,-1.0000
prebreak,601398,2025-09-02,A,S,S,C,A,A,A,7.5700,7.5900,7.3100,0.2800,1,7.5900,7.4300,2025-09-09,0,-0.5714,1,7.5900,7.4500,2025-09-16,0,-0.5000,1,7.5900,7.3100,2025-09-18,1,-1.0000
prebreak,000001,2025-09-09,A,S,S,C,A,A,A,11.7500,12.0300,11.5800,0.4500,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,000858,2025-09-09,S,S,S,C,S,A,A,128.8000,126.7500,122.5600,4.1900,1,126.7500,125.8000,2025-09-16,0,-0.2267,1,126.7500,122.5600,2025-09-22,1,-1.0000,1,126.7500,122.5600,2025-09-22,1,-1.0000
prebreak,601398,2025-09-09,S,S,S,C,A,A,S,7.4300,7.6200,7.2500,0.3700,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,000001,2025-09-16,A,S,S,C,A,A,A,11.6400,11.9000,11.5900,0.3100,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,000858,2025-09-16,S,S,S,C,S,S,A,125.8000,129.9300,125.1500,4.7800,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,601398,2025-09-16,S,S,S,C,A,A,S,7.4500,7.6000,7.3700,0.2300,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,1,7.6000,7.7600,2025-10-22,0,0.6957
prebreak,000001,2025-09-23,A,S,S,C,A,A,A,11.5200,11.6900,11.3000,0.3900,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,1,11.6900,11.3900,2025-10-29,0,-0.7692
prebreak,000858,2025-09-23,S,S,S,C,S,S,A,122.1900,126.5800,121.3200,5.2600,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,601398,2025-09-23,S,S,S,C,A,S,S,7.4000,7.4700,7.1100,0.3600,1,7.4700,7.3000,2025-09-30,0,-0.4722,1,7.4700,7.4600,2025-10-15,0,-0.0278,1,7.4700,7.8300,2025-10-29,0,1.0000
prebreak,000001,2025-09-30,A,S,S,C,A,A,A,11.3400,11.6400,11.2500,0.3900,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,1,11.6400,11.5200,2025-11-05,0,-0.3077
prebreak,000858,2025-09-30,S,S,S,C,S,A,A,121.4800,123.1000,119.5500,3.5500,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,601398,2025-09-30,S,S,S,C,A,A,S,7.3000,7.5500,7.2500,0.3000,0,0.0000,0.0000,,0,0.0000,1,7.5500,7.7600,2025-10-22,0,0.7000,1,7.5500,8.1400,2025-11-05,0,1.9667
prebreak,000001,2025-10-15,A,S,S,C,A,A,A,11.4000,11.6200,11.2400,0.3800,0,0.0000,0.0000,,0,0.0000,1,11.6200,11.3900,2025-10-29,0,-0.6053,1,11.6200,11.6800,2025-11-12,0,0.1579
prebreak,000858,2025-10-15,S,S,S,C,S,A,A,122.0700,122.9000,119.0000,3.9000,1,122.9000,120.1000,2025-10-22,0,-0.7179,1,122.9000,119.0000,2025-10-29,1,-1.0000,1,122.9000,119.0000,2025-10-29,1,-1.0000
prebreak,601398,2025-10-15,S,S,S,C,S,A,S,7.4600,7.5600,7.1900,0.3700,1,7.5600,7.7600,2025-10-22,0,0.5405,1,7.5600,7.8300,2025-10-29,0,0.7297,1,7.5600,8.1900,2025-11-12,0,1.7027
prebreak,000001,2025-10-22,A,S,S,C,A,A,A,11.5200,11.6000,11.2500,0.3500,1,11.6000,11.3900,2025-10-29,0,-0.6000,1,11.6000,11.5200,2025-11-05,0,-0.2286,1,11.6000,11.8000,2025-11-19,0,0.5714
prebreak,000858,2025-10-22,S,S,S,C,S,A,A,120.1000,123.2100,119.6600,3.5500,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,601398,2025-10-22,S,S,S,C,S,S,A,7.7600,7.8100,7.4200,0.3900,1,7.8100,7.8300,2025-10-29,0,0.0513,1,7.8100,8.1400,2025-11-05,0,0.8462,1,7.8100,8.2300,2025-11-19,0,1.0769
prebreak,000001,2025-10-29,A,S,S,C,A,A,A,11.3900,11.7300,11.3400,0.3900,0,0.0000,0.0000,,0,0.0000,1,11.7300,11.6800,2025-11-12,0,-0.1282,1,11.7300,11.6900,2025-11-26,0,-0.1026
prebreak,000858,2025-10-29,S,S,S,C,S,S,A,118.8300,121.6900,117.9700,3.7200,0,0.0000,0.0000,,0,0.0000,1,121.6900,120.3800,2025-11-12,0,-0.3522,1,121.6900,117.9700,2025-11-25,1,-1.0000
prebreak,601398,2025-10-29,S,S,S,C,S,A,S,7.8300,8.0400,7.6900,0.3500,1,8.0400,8.1400,2025-11-05,0,0.2857,1,8.0400,8.1900,2025-11-12,0,0.4286,1,8.0400,8.1600,2025-11-26,0,0.3429
prebreak,000001,2025-11-05,S,S,S,C,S,S,A,11.5200,11.6600,11.2800,0.3800,1,11.6600,11.6800,2025-11-12,0,0.0526,1,11.6600,11.8000,2025-11-19,0,0.3684,1,11.6600,11.5500,2025-12-03,0,-0.2895
