date,balance,injected_total
2023-07-04,5600.0,0.0
2023-07-11,1935.8,0.0
2023-07-11,3638.36,0.0
2023-07-21,3649.51,0.0
2023-07-26,3716.45,0.0
2023-08-01,6081.6,0.0
2023-08-14,2066.07,0.0
2023-08-21,2932.54,0.0
2023-08-18,4365.82,0.0
2023-08-28,1667.3,0.0
2023-08-29,2063.58,0.0
2023-09-05,2439.72,0.0
2023-09-19,2567.93,0.0
2023-09-18,4610.25,0.0
2023-10-09,2013.07,0.0
2023-09-28,4100.21,0.0
2023-10-13,2432.62,0.0
2023-11-06,2449.24,0.0
2023-11-08,2824.86,0.0
2023-11-13,2548.22,0.0
2023-11-16,2756.26,0.0
2023-11-24,3295.59,0.0
2023-11-28,3349.94,0.0
2023-12-13,3324.15,0.0
2023-12-19,3098.51,0.0
2023-12-21,4426.84,0.0
2023-12-25,2383.6,0.0
2023-12-29,2545.08,0.0
2024-01-03,2550.89,0.0
2024-01-19,2512.47,0.0
2024-01-22,3871.79,0.0
2024-01-31,3461.58,0.0
2024-01-26,4568.28,0.0
2024-02-19,3042.4,0.0
2024-02-19,4400.79,0.0
2024-02-29,2111.64,0.0
2024-02-29,4287.55,0.0
2024-03-13,1568.28,0.0
2024-03-21,3652.06,0.0
2024-04-01,5798.84,0.0
2024-04-16,4030.22,0.0
2024-04-16,5651.82,0.0
2024-05-29,3135.08,0.0
2024-06-03,3250.76,0.0
2024-07-01,5700.26,0.0
2024-08-02,2601.51,0.0
2024-08-09,1939.9,0.0
2024-08-09,3750.63,0.0
2024-08-12,5672.57,0.0
2024-09-27,3209.04,0.0
2024-09-30,3254.65,0.0
2024-10-08,3148.47,0.0
2024-10-14,2097.57,0.0
2024-10-09,4169.12,0.0
2024-10-31,2385.78,0.0
2024-11-04,2445.08,0.0
2024-11-05,3059.76,0.0
2024-11-20,3257.95,0.0
2024-11-21,5294.79,0.0
2024-12-03,6924.36,0.0
2024-12-31,6890.44,0.0
2025-02-10,4054.55,0.0
2025-02-25,3891.15,0.0
2025-03-06,5503.04,0.0
2025-03-10,7083.19,0.0
2025-05-12,3742.57,0.0
2025-05-22,3664.18,0.0
2025-06-06,3767.36,0.0
2025-06-03,5704.58,0.0
2025-06-03,7297.59,0.0
2025-07-07,3329.6,0.0
2025-07-07,4772.6,0.0
2025-07-31,4668.47,0.0
2025-07-31,6766.38,0.0
2025-08-05,6892.9,0.0
2025-08-13,7211.24,0.0
2025-08-20,4431.21,0.0
2025-08-26,5524.25,0.0
2025-08-29,7206.14,0.0
2025-09-18,3894.94,0.0
2025-09-24,4471.51,0.0
2025-10-10,4490.73,0.0
2025-10-14,5583.76,0.0
2025-10-27,5851.91,0.0
2025-10-28,6520.2,0.0
2025-11-07,6395.48,0.0
2025-11-12,6410.4,0.0
2025-11-24,6177.71,0.0
2025-11-21,7803.9,0.0
2025-11-24,9365.09,0.0
2025-11-28,4861.62,0.0
2025-12-09,4364.89,0.0
2025-12-09,7218.48,0.0
2025-12-17,6226.89,0.0
2025-12-19,6227.62,0.0
2026-01-09,5969.21,0.0
2026-01-13,5130.61,0.0
2026-01-13,7628.24,0.0
2026-01-16,6134.81,0.0
2026-01-19,6377.3,0.0
2026-01-20,6415.66,0.0
2026-01-21,8509.61,0.0
2026-01-29,5589.28,0.0
2026-02-02,6481.93,0.0
2026-02-06,6711.06,0.0
2026-02-11,6796.03,0.0
2026-02-26,7051.68,0.0
2026-03-09,5991.95,0.0
2026-03-09,7652.12,0.0
2026-03-13,5409.7,0.0
2026-03-17,4809.26,0.0
2026-03-20,6895.22,0.0
2026-03-18,9595.07,0.0
2026-03-26,5961.9,0.0
2026-04-01,5920.71,0.0
2026-04-10,4851.64,0.0
2026-04-16,4843.97,0.0
2026-04-20,4883.29,0.0
2026-04-30,4875.95,0.0
2026-05-08,6075.77,0.0
2026-05-12,6279.47,0.0
2026-05-12,8296.39,0.0
2026-05-25,6234.87,0.0
2026-05-26,6436.6,0.0
2026-05-28,8448.59,0.0
2026-06-01,8568.85,0.0
2026-06-03,8649.92,0.0
2026-06-05,7083.9,0.0
2026-06-11,7110.46,0.0
2026-06-18,6871.24,0.0
2026-06-22,7040.87,0.0
2026-06-24,7054.9,0.0
2026-07-08,6355.29,0.0
2026-07-10,6301.55,0.0
2026-07-17,5538.87,0.0
2026-07-16,7524.88,0.0
2026-07-16,9700.79,0.0
