symbol,board,limit_days_max,limit_days_20cm,gap_3,gap_4,gap_5,n
600777,沪主板,2,0,4,4,3,60
002731,深主板,13,0,26,23,16,60
688121,科创板,8,4,9,8,6,60
600735,沪主板,0,0,4,3,1,60
300225,创业板,3,0,0,0,0,60
603377,沪主板,0,0,9,5,1,60
605255,沪主板,8,0,9,7,6,60
603843,沪主板,4,0,4,2,0,60
603389,沪主板,3,0,3,1,1,60
001331,深主板,12,0,5,5,2,60
601995,沪主板,0,0,0,0,0,60
601198,沪主板,0,0,1,0,0,60
601059,沪主板,0,0,1,0,0,60
002969,深主板,7,0,7,5,4,60
002931,深主板,14,0,6,3,1,60
300486,创业板,2,2,1,1,1,60
688585,科创板,5,0,7,5,4,60
605178,沪主板,9,0,8,6,4,60
600337,沪主板,0,0,2,0,0,60
600358,沪主板,1,0,0,0,0,60
600360,沪主板,9,0,10,3,3,60
603729,沪主板,0,0,0,0,0,60
002175,深主板,1,0,15,12,5,60
603359,沪主板,0,0,6,3,0,60
300111,创业板,1,0,1,0,0,60
688766,科创板,15,1,25,11,10,60
600319,沪主板,0,0,3,0,0,60
000959,深主板,2,0,0,0,0,60
002036,深主板,6,0,7,3,2,60
688051,科创板,1,0,4,1,1,60
600438,沪主板,1,0,0,0,0,60
600721,沪主板,6,0,4,4,4,60
601555,沪主板,0,0,0,0,0,60
301148,创业板,1,0,1,0,0,60
002445,深主板,1,0,2,1,1,60
301316,创业板,4,0,3,2,1,60
300127,创业板,0,0,0,0,0,60
603058,沪主板,2,0,0,0,0,60
603019,沪主板,3,0,7,4,1,60
688521,科创板,7,0,9,5,4,60
300131,创业板,6,0,6,5,2,60
300069,创业板,8,4,12,10,7,60
002480,深主板,0,0,1,0,0,60
688347,科创板,9,2,11,7,3,60
300851,创业板,1,0,4,3,3,60
603616,沪主板,7,0,12,9,7,60
301178,创业板,6,0,4,1,1,60
301112,创业板,2,1,1,0,0,60
000407,深主板,0,0,0,0,0,60
300214,创业板,11,3,6,5,4,60
301213,创业板,4,0,3,0,0,60
301309,创业板,2,0,1,1,1,60
300658,创业板,2,1,4,3,2,60
301234,创业板,8,4,8,7,6,60
600962,沪主板,7,0,9,6,3,60
000552,深主板,0,0,0,0,0,60
000545,深主板,4,0,1,1,0,60
603213,沪主板,0,0,0,0,0,60
300691,创业板,0,0,1,1,1,60
600579,沪主板,3,0,1,0,0,60
002049,深主板,0,0,3,0,0,60
300277,创业板,0,0,1,0,0,60
300965,创业板,3,0,4,4,3,60
688689,科创板,12,2,10,6,6,60
603950,沪主板,10,0,10,7,4,60
300889,创业板,2,0,1,0,0,60
688277,科创板,2,0,3,2,2,60
600156,沪主板,7,0,10,7,5,60
002155,深主板,1,0,7,1,0,60
002812,深主板,2,0,2,0,0,60
002859,深主板,9,0,14,10,7,60
688693,科创板,7,0,4,4,4,60
688041,科创板,0,0,7,5,3,60
002769,深主板,1,0,0,0,0,60
688072,科创板,8,1,11,9,5,60
688175,科创板,6,0,3,3,1,60
300807,创业板,0,0,0,0,0,60
002185,深主板,10,0,15,10,8,60
688536,科创板,1,0,6,3,3,60
300950,创业板,0,0,0,0,0,60
300307,创业板,1,0,0,0,0,60
300955,创业板,2,0,1,0,0,60
301033,创业板,1,1,1,0,0,60
688531,科创板,9,0,13,6,4,60
600800,沪主板,1,0,0,0,0,60
300912,创业板,5,2,6,4,3,60
300828,创业板,2,0,5,3,3,60
002968,深主板,0,0,0,0,0,60
603137,沪主板,17,0,18,18,13,60
688165,科创板,2,0,4,2,1,60
600208,沪主板,5,0,4,4,4,60
300620,创业板,10,2,9,7,3,60
688478,科创板,10,3,17,12,10,60
601369,沪主板,3,0,1,1,1,60
301022,创业板,0,0,0,0,0,60
688381,科创板,7,1,6,5,4,60
688191,科创板,7,0,1,1,0,60
300672,创业板,9,0,9,4,2,60
000670,深主板,5,0,5,3,2,60
688228,科创板,1,0,2,2,1,60
000695,深主板,2,0,0,0,0,60
301357,创业板,1,1,4,2,1,60
600958,沪主板,0,0,0,0,0,60
603933,沪主板,4,0,3,3,0,60
000524,深主板,2,0,4,4,2,60
600058,沪主板,5,0,3,3,3,60
688237,科创板,5,1,2,1,0,60
300710,创业板,3,0,3,1,0,60
002166,深主板,0,0,1,1,0,60
002718,深主板,4,0,4,1,1,60
601088,沪主板,0,0,0,0,0,60
600499,沪主板,1,0,2,1,1,60
600960,沪主板,0,0,1,0,0,60
