code,name,price,涨幅%,换手率%,成交量,MA5,MA20,RSI,评级,策略,触发价,止损价,每股风险,TY高,TY低
600008,首创环保,2.93,2.0905923344947785,0.0,1080111.0,2.902,2.8465,0,S,钻潜评级策略,2.96,2.83,0.13,2.95,2.84
600015,华夏银行,7.09,0.14124293785311437,0.0,997717.0,7.034000000000001,6.8845,0,S,钻潜评级策略,7.17,6.9,0.27,7.16,6.91
600016,民生银行,3.56,0.28169014084507005,0.0,2493941.0,3.5340000000000003,3.4284999999999997,0,S,钻潜评级策略,3.59,3.47,0.12,3.58,3.48
600018,上港集团,5.17,0.19379844961240345,0.0,526500.0,5.1579999999999995,5.112,0,S,钻潜评级策略,5.23,5.08,0.15,5.22,5.09
600017,日照港,2.74,0.7352941176470562,0.0,360206.0,2.722,2.6735,0,S,钻潜评级策略,2.76,2.66,0.1,2.75,2.67
600035,楚天高速,3.5,0.5747126436781658,0.0,194216.0,3.4839999999999995,3.5035000000000003,0,S,钻潜评级策略,3.53,3.41,0.12,3.52,3.42
600050,中国联通,4.42,-0.45045045045045695,0.0,1461000.0,4.416,4.2585,0,S,钻潜评级策略,4.47,4.33,0.14,4.46,4.34
600062,华润双鹤,16.89,2.862362971985366,0.0,108061.0,16.770000000000003,16.8895,0,S,钻潜评级策略,17.59,16.76,0.83,17.55,16.79
600079,ST人福,17.91,1.8192154633314361,0.0,119137.0,17.518,17.499000000000002,0,S,钻潜评级策略,18.01,17.16,0.85,17.97,17.19
600169,ST太重,2.05,1.990049751243772,0.0,128690.0,2.006,2.0095,0,S,钻潜评级策略,2.05,1.96,0.09,2.05,1.96
600182,S佳通,12.91,0.7020280811232515,0.0,11671.0,12.813999999999998,13.387,0,S,钻潜评级策略,13.11,12.55,0.56,13.08,12.58
600283,钱江水利,7.8,1.0362694300518172,0.0,26489.0,7.712000000000001,7.9655000000000005,0,S,钻潜评级策略,7.84,7.55,0.29,7.82,7.57
600285,羚锐制药,23.13,2.9372496662216196,0.0,114550.0,22.49,22.1665,0,S,钻潜评级策略,22.79,21.81,0.98,22.74,21.85
600351,亚宝药业,6.52,0.46224961479197635,0.0,124557.0,6.5120000000000005,6.4185,0,S,钻潜评级策略,6.65,6.37,0.28,6.64,6.38
600368,五洲交通,3.85,1.3157894736842257,0.0,127238.0,3.7939999999999996,3.696,0,S,钻潜评级策略,3.88,3.69,0.19,3.87,3.7
600398,海澜之家,6.16,2.3255813953488413,0.0,449105.0,6.0280000000000005,5.8125,0,S,钻潜评级策略,6.2,5.88,0.32,6.19,5.89
600419,天润乳业,8.83,9.96264009962642,0.0,170236.0,7.992,7.8565,0,S,钻潜评级策略,7.88,7.55,0.33,7.86,7.57
600461,洪城环境,9.31,2.1953896816685026,0.0,125912.0,9.208,9.1785,0,S,钻潜评级策略,9.42,8.96,0.46,9.4,8.98
600479,千金药业,9.63,0.6269592476489061,0.0,52242.0,9.544,9.6765,0,S,钻潜评级策略,9.76,9.26,0.5,9.74,9.28
