mode,code,date,grade,PT,TY,DN,DL,LK,SF,close,trigger,stop,risk,prbook_warn,triggered_5d,entry_5d,exit_5d,exit_date_5d,stopped_5d,r_5d,triggered_10d,entry_10d,exit_10d,exit_date_10d,stopped_10d,r_10d,triggered_20d,entry_20d,exit_20d,exit_date_20d,stopped_20d,r_20d
prebreak,002074,2023-07-03,S,S,A,C,S,S,A,27.6533,27.6100,26.3200,1.2900,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,002773,2023-07-03,S,S,A,C,S,S,A,17.6674,17.5900,16.7000,0.8900,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,300355,2023-07-03,S,S,A,C,S,S,A,3.4538,3.4200,3.2600,0.1600,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,300424,2023-07-03,S,S,A,C,S,S,A,14.5783,14.3700,13.7200,0.6500,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,300984,2023-07-03,S,S,A,C,S,S,A,12.9402,12.2900,11.8300,0.4600,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,301022,2023-07-03,S,S,A,C,S,S,A,24.2433,23.7200,22.5300,1.1900,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600546,2023-07-03,S,S,A,C,S,S,A,12.9438,12.6700,12.1300,0.5400,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600578,2023-07-03,S,S,A,C,S,S,A,3.6244,3.4300,3.2400,0.1900,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600758,2023-07-03,S,S,A,C,S,S,A,4.5542,4.5100,4.3000,0.2100,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600765,2023-07-03,S,S,A,C,S,S,A,26.4309,24.6000,23.3100,1.2900,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600929,2023-07-03,S,S,A,C,S,S,A,7.6173,7.2700,6.9100,0.3600,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,601607,2023-07-03,S,S,A,C,S,S,A,20.0690,21.5600,20.5700,0.9900,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,603619,2023-07-03,S,S,A,C,S,S,A,15.9500,15.7900,15.0100,0.7800,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,000905,2023-07-04,S,S,A,C,S,S,A,7.4827,7.5000,7.2100,0.2900,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,002061,2023-07-04,S,S,A,C,S,S,A,4.0321,4.1000,3.9000,0.2000,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,002465,2023-07-04,S,S,A,C,S,S,A,10.0103,10.0700,9.6200,0.4500,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,002630,2023-07-04,S,S,A,C,S,S,A,2.5600,2.5600,2.4300,0.1300,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,002801,2023-07-04,S,S,A,C,S,S,A,26.0898,23.0100,22.0500,0.9600,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,300032,2023-07-04,S,S,A,C,S,S,A,6.3400,6.2600,6.0100,0.2500,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,300457,2023-07-04,S,S,A,C,S,S,A,17.3285,16.7200,16.0400,0.6800,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,300855,2023-07-04,S,S,A,C,S,S,A,36.4916,34.1700,32.4000,1.7700,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,300885,2023-07-04,S,S,A,C,S,S,A,9.9191,9.2500,8.8900,0.3600,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600278,2023-07-04,S,S,A,C,S,S,A,7.1306,7.2000,6.9100,0.2900,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600585,2023-07-04,S,S,A,C,S,S,A,21.2314,21.7500,20.9700,0.7800,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,1,21.7500,23.6733,2023-08-01,0,2.4430
prebreak,000893,2023-07-06,S,S,A,C,S,S,A,24.3925,23.1800,22.1400,1.0400,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,002171,2023-07-06,S,S,A,C,S,S,A,7.0096,7.0500,6.7300,0.3200,,0,0.0000,0.0000,,0,0.0000,1,7.0500,7.0480,2023-07-20,0,-0.0229,1,7.0500,7.1923,2023-08-03,0,0.4275
prebreak,002318,2023-07-06,S,S,A,C,S,S,A,15.6783,15.6700,14.9000,0.7700,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,002697,2023-07-06,S,S,A,C,S,S,A,5.3896,5.6600,5.3800,0.2800,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,002891,2023-07-06,S,S,A,C,S,S,A,24.1061,23.2600,22.2600,1.0000,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600406,2023-07-06,S,S,A,C,S,S,A,21.7759,21.9500,20.8500,1.1000,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,601179,2023-07-06,S,S,A,C,S,S,A,5.2713,5.3700,5.1200,0.2500,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,601279,2023-07-06,S,S,A,C,S,S,A,5.8110,5.2600,5.0200,0.2400,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,002635,2023-07-07,S,S,A,C,S,S,A,13.0444,13.4700,12.9400,0.5300,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,002815,2023-07-07,S,S,A,C,S,S,A,12.0463,12.1100,11.5500,0.5600,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,003037,2023-07-07,S,S,A,C,S,S,A,12.2333,12.5700,11.9700,0.6000,,1,12.5700,12.4680,2023-07-14,0,-0.1858,1,12.5700,12.8983,2023-07-21,0,0.5309,1,12.5700,12.6538,2023-08-04,0,0.1237
prebreak,300131,2023-07-07,S,S,A,C,S,S,A,5.2600,5.3900,5.2000,0.1900,,1,5.3900,5.6300,2023-07-14,0,1.2408,1,5.3900,5.3700,2023-07-21,0,-0.1268,1,5.3900,5.4300,2023-08-04,0,0.1888
prebreak,300164,2023-07-07,S,S,A,C,S,S,A,4.5900,4.3800,4.1500,0.2300,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,301107,2023-07-07,S,S,A,C,S,S,A,16.6934,14.6900,14.1400,0.5500,,1,14.6900,18.2278,2023-07-14,0,6.4080,1,14.6900,15.5292,2023-07-21,0,1.5045,1,14.6900,14.5257,2023-08-04,0,-0.3188
prebreak,600827,2023-07-07,S,S,A,C,S,S,A,12.0260,13.0100,12.3800,0.6300,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,1,13.0100,13.4367,2023-08-04,0,0.6612
prebreak,600938,2023-07-07,S,S,A,C,S,S,A,16.1537,15.6400,14.9300,0.7100,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,601118,2023-07-07,S,S,A,C,S,S,A,4.6280,4.6500,4.4500,0.2000,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,603191,2023-07-07,S,S,A,C,S,S,A,18.6100,18.2200,17.2400,0.9800,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,688778,2023-07-07,S,S,A,C,S,S,A,38.1724,40.0400,38.0500,1.9900,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,000009,2023-07-10,S,S,A,C,S,S,A,11.7102,11.9800,11.3700,0.6100,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,002074,2023-07-10,S,S,A,C,S,S,A,27.2384,27.6100,26.3200,1.2900,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,002160,2023-07-10,S,S,A,C,S,S,A,4.1400,4.2000,3.9900,0.2100,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,002758,2023-07-10,S,S,A,C,S,S,A,11.1236,11.0900,10.6700,0.4200,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,002772,2023-07-10,S,S,A,C,S,S,A,9.3451,9.6800,9.2400,0.4400,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,002773,2023-07-10,S,S,A,C,S,S,A,17.5929,17.5900,16.7000,0.8900,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,300683,2023-07-10,S,S,A,C,S,S,A,39.7759,37.7600,35.9600,1.8000,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600929,2023-07-10,S,S,A,C,S,S,A,7.5039,7.6200,7.3400,0.2800,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600980,2023-07-10,S,S,A,C,S,S,A,15.4203,15.2500,14.5300,0.7200,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,601607,2023-07-10,S,S,A,C,S,S,A,19.4339,20.1300,19.0800,1.0500,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,688050,2023-07-10,S,S,A,C,S,S,A,108.5241,115.8000,110.3400,5.4600,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,000408,2023-07-11,S,S,A,C,S,S,A,20.6289,21.0500,20.1000,0.9500,2023-07-29（报告期 2023-06-30 00:00:00）,0,0.0000,0.0000,,0,0.0000,1,21.0500,21.1578,2023-07-25,0,0.0966,1,21.0500,21.8481,2023-08-08,0,0.8228
prebreak,002909,2023-07-11,S,S,A,C,S,S,A,7.7768,7.9100,7.5400,0.3700,,1,7.9100,7.9710,2023-07-18,0,0.1485,1,7.9100,7.9807,2023-07-25,0,0.1747,1,7.9100,7.7671,2023-08-08,0,-0.4022
prebreak,300032,2023-07-11,S,S,A,C,S,S,A,6.2400,6.4900,6.1900,0.3000,,1,6.4900,6.8000,2023-07-18,0,1.0162,1,6.4900,6.9000,2023-07-25,0,1.3494,1,6.4900,6.6000,2023-08-08,0,0.3500
prebreak,300416,2023-07-11,S,S,A,C,S,S,A,20.3571,21.3500,20.3000,1.0500,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,300772,2023-07-11,S,S,A,C,S,S,A,12.9865,13.2400,12.6000,0.6400,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600059,2023-07-11,S,S,A,C,S,S,A,10.3226,10.1900,9.7500,0.4400,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
