start,trough,end,peak,trough_val,depth_pct,trough_days
2011-11-28,2012-05-25,2011-11-28,9103.9,8361.9,-8.2,179
2013-05-20,2014-06-24,2013-05-20,9725.0,9188.8,-5.5,400
2014-12-08,2014-12-09,2014-12-08,13559.3,12538.0,-7.5,1
2015-01-28,2015-02-10,2015-01-28,13959.6,13114.8,-6.1,13
2017-01-09,2017-05-11,2017-01-09,19277.8,17220.0,-10.7,122
2017-11-22,2017-11-27,2017-11-22,22140.2,20911.6,-5.5,5
2018-01-26,2018-02-06,2018-01-26,22185.8,20737.2,-6.5,11
2020-02-24,2020-03-19,2020-02-24,28488.9,25368.4,-11.0,24
2024-01-11,2024-02-02,2024-01-11,46757.4,44114.6,-5.7,22
2024-10-08,2024-10-17,2024-10-08,56280.0,50559.5,-10.2,9
