id,ratio,桶,成交n,成交avgR,成交胜率,触发集n,触发集avgR
G01,0.008,0.50~0.67,408,0.78,0.493,441,0.77
G01,0.008,0.67~1.00,0,,,381,1.032
G01,0.008,1.00~1.50,0,,,208,0.693
G01,0.008,1.50~2.00,0,,,75,0.93
G01,0.008,2.00~2.50,0,,,28,1.728
G01,0.008,2.50~3.00,0,,,11,1.284
G02,0.00857,0.50~0.67,407,0.782,0.494,441,0.77
G02,0.00857,0.67~1.00,50,0.768,0.5,381,1.032
G02,0.00857,1.00~1.50,0,,,208,0.693
G02,0.00857,1.50~2.00,0,,,75,0.93
G02,0.00857,2.00~2.50,0,,,28,1.728
G02,0.00857,2.50~3.00,0,,,11,1.284
G03,0.01,0.50~0.67,403,0.792,0.496,441,0.77
G03,0.01,0.67~1.00,214,0.992,0.523,381,1.032
G03,0.01,1.00~1.50,0,,,208,0.693
G03,0.01,1.50~2.00,0,,,75,0.93
G03,0.01,2.00~2.50,0,,,28,1.728
G03,0.01,2.50~3.00,0,,,11,1.284
G04,0.012855,0.50~0.67,395,0.786,0.496,441,0.77
G04,0.012855,0.67~1.00,342,1.071,0.532,381,1.032
G04,0.012855,1.00~1.50,47,0.397,0.532,208,0.693
G04,0.012855,1.50~2.00,0,,,75,0.93
G04,0.012855,2.00~2.50,0,,,28,1.728
G04,0.012855,2.50~3.00,0,,,11,1.284
G05,0.016,0.50~0.67,384,0.778,0.5,441,0.77
G05,0.016,0.67~1.00,334,1.078,0.53,381,1.032
G05,0.016,1.00~1.50,135,0.647,0.489,208,0.693
G05,0.016,1.50~2.00,0,,,75,0.93
G05,0.016,2.00~2.50,0,,,28,1.728
G05,0.016,2.50~3.00,0,,,11,1.284
G06,0.02,0.50~0.67,369,0.779,0.496,441,0.77
G06,0.02,0.67~1.00,328,1.117,0.543,381,1.032
G06,0.02,1.00~1.50,171,0.715,0.491,208,0.693
G06,0.02,1.50~2.00,23,0.742,0.478,75,0.93
G06,0.02,2.00~2.50,0,,,28,1.728
G06,0.02,2.50~3.00,0,,,11,1.284
G07,0.025,0.50~0.67,374,0.801,0.489,441,0.77
G07,0.025,0.67~1.00,332,1.093,0.536,381,1.032
G07,0.025,1.00~1.50,170,0.71,0.494,208,0.693
G07,0.025,1.50~2.00,64,1.099,0.5,75,0.93
G07,0.025,2.00~2.50,6,0.947,0.667,28,1.728
G07,0.025,2.50~3.00,0,,,11,1.284
