id,signals,capital,risk_ratio,max_positions,monthly_inject,min_date,window_min,window_max,risk_growth,note,skip,max_date
C100000_5_近7年,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,100000.0,0.02,999,0.0,2019-01-01,,,False,拐点验证 近7年,False,
C100000_5_近3年,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,100000.0,0.02,999,0.0,2023-01-01,,,False,拐点验证 近3年,False,
C100000_6_近7年,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,100000.0,0.025,999,0.0,2019-01-01,,,False,拐点验证 近7年,False,
C100000_6_近3年,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,100000.0,0.025,999,0.0,2023-01-01,,,False,拐点验证 近3年,False,
C30000_5_近7年,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,30000.0,0.02,999,0.0,2019-01-01,,,False,拐点验证 近7年,False,
C30000_5_近3年,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,30000.0,0.02,999,0.0,2023-01-01,,,False,拐点验证 近3年,False,
C30000_6_近7年,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,30000.0,0.025,999,0.0,2019-01-01,,,False,拐点验证 近7年,False,
C30000_6_近3年,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,30000.0,0.025,999,0.0,2023-01-01,,,False,拐点验证 近3年,False,
C50000_5_近7年,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,50000.0,0.02,999,0.0,2019-01-01,,,False,拐点验证 近7年,False,
C50000_5_近3年,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,50000.0,0.02,999,0.0,2023-01-01,,,False,拐点验证 近3年,False,
C50000_6_近7年,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,50000.0,0.025,999,0.0,2019-01-01,,,False,拐点验证 近7年,False,
C50000_6_近3年,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,50000.0,0.025,999,0.0,2023-01-01,,,False,拐点验证 近3年,False,
C8401_5_近7年,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,8401.0,0.02,999,0.0,2019-01-01,,,False,拐点验证 近7年,False,
C8401_5_近3年,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,8401.0,0.02,999,0.0,2023-01-01,,,False,拐点验证 近3年,False,
C8401_6_近7年,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,8401.0,0.025,999,0.0,2019-01-01,,,False,拐点验证 近7年,False,
C8401_6_近3年,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,8401.0,0.025,999,0.0,2023-01-01,,,False,拐点验证 近3年,False,
