id,signals,capital,risk_ratio,max_positions,monthly_inject,min_date,window_min,window_max,risk_growth,note,skip,max_date
X01,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,8401.0,0.03,999,0.0,,,,False,扩展档 0.0300×8401,False,
X02,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,8401.0,0.035,999,0.0,,,,False,扩展档 0.0350×8401,False,
X03,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,8401.0,0.04,999,0.0,,,,False,扩展档 0.0400×8401,False,
X04,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,30000.0,0.03,999,0.0,,,,False,扩展档 0.0300×30000,False,
X05,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,30000.0,0.035,999,0.0,,,,False,扩展档 0.0350×30000,False,
X06,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,30000.0,0.04,999,0.0,,,,False,扩展档 0.0400×30000,False,
X07,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,50000.0,0.03,999,0.0,,,,False,扩展档 0.0300×50000,False,
X08,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,50000.0,0.035,999,0.0,,,,False,扩展档 0.0350×50000,False,
X09,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,50000.0,0.04,999,0.0,,,,False,扩展档 0.0400×50000,False,
X10,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,100000.0,0.03,999,0.0,,,,False,扩展档 0.0300×100000,False,
X11,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,100000.0,0.035,999,0.0,,,,False,扩展档 0.0350×100000,False,
X12,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,100000.0,0.04,999,0.0,,,,False,扩展档 0.0400×100000,False,
