id,signals,capital,risk_ratio,max_positions,monthly_inject,min_date,window_min,window_max,risk_growth,note,skip,max_date
G01,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,8401.0,0.008,999,0.0,,,,False,0.0080×8401,False,
G02,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,8401.0,0.00857,999,0.0,,,,False,0.0086×8401,False,
G03,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,8401.0,0.01,999,0.0,,,,False,0.0100×8401,False,
G04,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,8401.0,0.012855,999,0.0,,,,False,0.0129×8401,False,
G05,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,8401.0,0.016,999,0.0,,,,False,0.0160×8401,False,
G06,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,8401.0,0.02,999,0.0,,,,False,0.0200×8401,False,
G07,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,8401.0,0.025,999,0.0,,,,False,0.0250×8401,False,
G08,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,30000.0,0.008,999,0.0,,,,False,0.0080×30000,False,
G09,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,30000.0,0.00857,999,0.0,,,,False,0.0086×30000,False,
G10,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,30000.0,0.01,999,0.0,,,,False,0.0100×30000,False,
G11,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,30000.0,0.012855,999,0.0,,,,False,0.0129×30000,False,
G12,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,30000.0,0.016,999,0.0,,,,False,0.0160×30000,False,
G13,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,30000.0,0.02,999,0.0,,,,False,0.0200×30000,False,
G14,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,30000.0,0.025,999,0.0,,,,False,0.0250×30000,False,
G15,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,50000.0,0.008,999,0.0,,,,False,0.0080×50000,False,
G16,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,50000.0,0.00857,999,0.0,,,,False,0.0086×50000,False,
G17,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,50000.0,0.01,999,0.0,,,,False,0.0100×50000,False,
G18,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,50000.0,0.012855,999,0.0,,,,False,0.0129×50000,False,
G19,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,50000.0,0.016,999,0.0,,,,False,0.0160×50000,False,
G20,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,50000.0,0.02,999,0.0,,,,False,0.0200×50000,False,
G21,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,50000.0,0.025,999,0.0,,,,False,0.0250×50000,False,
G22,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,100000.0,0.008,999,0.0,,,,False,0.0080×100000,False,
G23,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,100000.0,0.00857,999,0.0,,,,False,0.0086×100000,False,
G24,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,100000.0,0.01,999,0.0,,,,False,0.0100×100000,False,
G25,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,100000.0,0.012855,999,0.0,,,,False,0.0129×100000,False,
G26,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,100000.0,0.016,999,0.0,,,,False,0.0160×100000,False,
G27,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,100000.0,0.02,999,0.0,,,,False,0.0200×100000,False,
G28,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,100000.0,0.025,999,0.0,,,,False,0.0250×100000,False,
