id,capital,risk_ratio,risk_amt,total_ret_pct,dd_peak_pct,n_exec,avg_r,avg_r_no_top5,reject_insufficient,reject_risk_over,exec_rate,exposure_peak_pct,max_streak,min_date,note,seconds
G01,8401.0,0.008,67.21,205.1,-10.2,408,0.74,0.355,12,666,37.6,9.9,13,,0.0080×8401,54.5
G02,8401.0,0.00857,72.0,235.6,-10.0,457,0.741,0.347,16,613,42.1,10.7,10,,0.0086×8401,55.3
G03,8401.0,0.01,84.01,391.4,-10.1,617,0.824,0.342,26,440,57.0,16.3,10,,0.0100×8401,59.0
G04,8401.0,0.012855,107.99,629.6,-11.0,784,0.852,0.313,49,249,72.5,24.2,11,,0.0129×8401,66.4
G05,8401.0,0.016,134.42,854.4,-12.3,853,0.84,0.331,84,145,78.8,32.2,11,,0.0160×8401,73.5
G06,8401.0,0.02,168.02,1124.7,-14.1,891,0.856,0.336,108,81,82.5,43.2,13,,0.0200×8401,76.8
G07,8401.0,0.025,210.03,1534.0,-13.8,946,0.876,0.325,102,32,87.6,58.9,14,,0.0250×8401,83.6
G08,30000.0,0.008,240.0,544.6,-8.3,1040,0.862,0.324,27,13,96.3,18.4,14,,0.0080×30000,87.2
G09,30000.0,0.00857,257.1,576.3,-9.8,1044,0.868,0.326,29,7,96.7,20.9,14,,0.0086×30000,87.2
G10,30000.0,0.01,300.0,701.9,-9.4,1047,0.884,0.346,33,0,96.9,23.5,14,,0.0100×30000,88.4
G11,30000.0,0.012855,385.65,942.2,-12.2,1026,0.886,0.376,54,0,95.0,31.5,14,,0.0129×30000,88.6
G12,30000.0,0.016,480.0,1205.8,-12.3,1013,0.899,0.389,67,0,93.8,40.0,14,,0.0160×30000,88.3
G13,30000.0,0.02,600.0,1506.5,-13.9,975,0.912,0.409,105,0,90.3,52.0,14,,0.0200×30000,87.6
G14,30000.0,0.025,750.0,1847.4,-14.6,949,0.906,0.419,131,0,87.9,68.8,14,,0.0250×30000,86.9
G15,50000.0,0.008,400.0,609.8,-9.3,1056,0.885,0.378,24,0,97.8,20.8,14,,0.0080×50000,89.1
G16,50000.0,0.00857,428.5,651.2,-9.5,1051,0.888,0.379,29,0,97.3,22.8,14,,0.0086×50000,88.9
G17,50000.0,0.01,500.0,787.5,-9.7,1047,0.895,0.393,33,0,96.9,27.0,14,,0.0100×50000,88.8
G18,50000.0,0.012855,642.75,1026.0,-11.1,1028,0.906,0.415,52,0,95.2,34.5,14,,0.0129×50000,88.7
G19,50000.0,0.016,800.0,1309.2,-13.0,1011,0.906,0.426,69,0,93.6,43.5,14,,0.0160×50000,81.9
G20,50000.0,0.02,1000.0,1573.0,-14.4,966,0.905,0.43,114,0,89.4,55.9,14,,0.0200×50000,80.7
G21,50000.0,0.025,1250.0,1950.1,-16.1,946,0.913,0.433,134,0,87.6,71.6,14,,0.0250×50000,80.0
G22,100000.0,0.008,800.0,676.2,-9.4,1055,0.893,0.424,25,0,97.7,22.9,14,,0.0080×100000,82.6
G23,100000.0,0.00857,857.0,729.5,-9.6,1051,0.897,0.43,29,0,97.3,24.8,14,,0.0086×100000,82.6
G24,100000.0,0.01,1000.0,860.4,-10.2,1042,0.907,0.44,38,0,96.5,29.0,14,,0.0100×100000,82.6
G25,100000.0,0.012855,1285.5,1107.9,-11.7,1026,0.906,0.446,54,0,95.0,36.8,14,,0.0129×100000,66.4
G26,100000.0,0.016,1600.0,1391.1,-13.1,1006,0.915,0.457,74,0,93.1,46.4,14,,0.0160×100000,65.9
G27,100000.0,0.02,2000.0,1658.5,-14.5,969,0.92,0.452,111,0,89.7,59.2,14,,0.0200×100000,65.0
G28,100000.0,0.025,2500.0,2040.4,-15.8,938,0.91,0.461,142,0,86.9,74.9,14,,0.0250×100000,64.3
