id,signals,capital,risk_ratio,max_positions,monthly_inject,min_date,window_min,window_max,risk_growth,note,skip,max_date
T2000,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,8401.0,0.012855,999,0.0,2000-01-01,,,False,起始点 2000,False,
T2005,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,8401.0,0.012855,999,0.0,2005-01-01,,,False,起始点 2005,False,
T2010,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,8401.0,0.012855,999,0.0,2010-01-01,,,False,起始点 2010,False,
T2015,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,8401.0,0.012855,999,0.0,2015-01-01,,,False,起始点 2015,False,
T2019,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,8401.0,0.012855,999,0.0,2019-01-01,,,False,起始点 2019,False,
T2023,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,8401.0,0.012855,999,0.0,2023-01-01,,,False,起始点 2023,False,
w2001,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,8401.0,0.012855,999,0.0,,2001-01-01,2004-01-01,False,滚动窗 w2001（2 笔信号）——空窗不跑引擎，仅年度分布,True,
w2004,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,8401.0,0.012855,999,0.0,,2004-01-01,2007-01-01,False,滚动窗 w2004（0 笔信号）——空窗不跑引擎，仅年度分布,True,
w2007,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,8401.0,0.012855,999,0.0,,2007-01-01,2010-01-01,False,滚动窗 w2007（3 笔信号）——空窗不跑引擎，仅年度分布,True,
w2010,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,8401.0,0.012855,999,0.0,,2010-01-01,2013-01-01,False,滚动窗 w2010（142 笔信号）,False,
w2013,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,8401.0,0.012855,999,0.0,,2013-01-01,2016-01-01,False,滚动窗 w2013（304 笔信号）,False,
w2016,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,8401.0,0.012855,999,0.0,,2016-01-01,2019-01-01,False,滚动窗 w2016（937 笔信号）,False,
w2019,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,8401.0,0.012855,999,0.0,,2019-01-01,2022-01-01,False,滚动窗 w2019（562 笔信号）,False,
w2022,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,8401.0,0.012855,999,0.0,,2022-01-01,2026-08-10,False,滚动窗 w2022（2399 笔信号）,False,
m2004,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,8401.0,0.012855,999,0.0,,2004-01-01,2010-01-01,False,合并参考窗 m2004（3 笔信号）,False,
m2010,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,8401.0,0.012855,999,0.0,,2010-01-01,2016-01-01,False,合并参考窗 m2010（446 笔信号）,False,
m2016,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,8401.0,0.012855,999,0.0,,2016-01-01,2022-01-01,False,合并参考窗 m2016（1499 笔信号）,False,
m2022,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,8401.0,0.012855,999,0.0,,2022-01-01,2026-08-10,False,合并参考窗 m2022（2399 笔信号）,False,
REGIME_OLD,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,8401.0,0.012855,999,0.0,,,2020-01-01,False,制度对比 ≤2019（10% 涨跌停时代）,False,
REGIME_NEW,C:\Users\32032\Desktop\deepseek\工作流\交易部门\产出\输出\backtest_r43_t2\signals.csv,8401.0,0.012855,999,0.0,2020-01-01,,,False,制度对比 ≥2020（创业板/科创板 20%）,False,
