id,capital,risk_ratio,risk_amt,total_ret_pct,dd_peak_pct,n_exec,avg_r,avg_r_no_top5,reject_insufficient,reject_risk_over,exec_rate,exposure_peak_pct,max_streak,min_date,note,seconds
m2004,8401.0,0.012855,107.99,0.0,0.0,0,0.0,0.0,0,1,0.0,0.0,0,,合并参考窗 m2004（3 笔信号）,0.4
m2010,8401.0,0.012855,107.99,109.5,-8.1,88,1.254,0.599,29,13,67.7,7.2,8,,合并参考窗 m2010（446 笔信号）,9.0
m2016,8401.0,0.012855,107.99,159.8,-18.4,218,0.797,0.314,93,73,56.8,8.8,9,,合并参考窗 m2016（1499 笔信号）,26.0
m2022,8401.0,0.012855,107.99,233.1,-10.0,328,0.754,0.224,81,162,57.4,15.0,11,,合并参考窗 m2022（2399 笔信号）,36.3
REGIME_NEW,8401.0,0.012855,107.99,331.0,-15.0,438,0.8,0.265,63,197,62.8,18.5,12,2020-01-01,制度对比 ≥2020（创业板/科创板 20%）,40.6
REGIME_OLD,8401.0,0.012855,107.99,210.5,-10.3,291,0.756,0.311,41,52,75.8,10.6,11,,制度对比 ≤2019（10% 涨跌停时代）,27.4
T2000,8401.0,0.012855,107.99,629.6,-11.0,784,0.852,0.313,49,249,72.5,24.2,11,2000-01-01,起始点 2000,64.1
T2005,8401.0,0.012855,107.99,630.7,-10.9,782,0.855,0.315,50,249,72.3,24.2,11,2005-01-01,起始点 2005,63.9
T2010,8401.0,0.012855,107.99,630.7,-10.9,782,0.855,0.315,50,248,72.4,24.2,11,2010-01-01,起始点 2010,64.1
T2015,8401.0,0.012855,107.99,526.9,-15.1,674,0.838,0.305,75,240,68.1,23.6,11,2015-01-01,起始点 2015,60.4
T2019,8401.0,0.012855,107.99,398.4,-13.0,481,0.882,0.306,46,204,65.8,21.8,11,2019-01-01,起始点 2019,48.7
T2023,8401.0,0.012855,107.99,202.5,-10.4,285,0.752,0.224,91,152,54.0,13.0,11,2023-01-01,起始点 2023,36.9
w2010,8401.0,0.012855,107.99,13.7,-8.1,28,0.446,0.297,1,3,87.5,4.7,8,,滚动窗 w2010（142 笔信号）,3.2
w2013,8401.0,0.012855,107.99,98.6,-7.3,57,1.798,1.025,31,10,58.2,6.9,4,,滚动窗 w2013（304 笔信号）,7.0
w2016,8401.0,0.012855,107.99,40.6,-18.4,112,0.412,0.137,76,31,51.1,5.6,9,,滚动窗 w2016（937 笔信号）,16.7
w2019,8401.0,0.012855,107.99,113.5,-13.0,97,1.276,0.629,26,42,58.8,6.5,5,,滚动窗 w2019（562 笔信号）,11.8
w2022,8401.0,0.012855,107.99,233.1,-10.0,328,0.754,0.224,81,162,57.4,15.0,11,,滚动窗 w2022（2399 笔信号）,30.4
