label   天数   牛   熊  震荡  信号数   avgR    胜率
s2000 6445 43% 47% 10% 4348  0.232 13.2%
s2005 5245 44% 45% 11% 4344  0.233 13.3%
s2010 4030 40% 48% 12% 4341  0.233 13.3%
s2015 2818 45% 43% 12% 3992  0.235 13.3%
s2019 1843 47% 39% 15% 2958  0.256 13.3%
s2023  871 53% 36% 11% 2241  0.247 12.8%
w2001  718 36% 59%  5%    2 -0.508  0.0%
w2004  726 47% 47%  6%    0    NaN     -
w2007  732 53% 37% 10%    3 -0.149  0.0%
w2010  729 21% 70%  9%  142  0.119 11.3%
w2013  727 48% 43%  9%  304  0.459 20.1%
w2016  731 36% 55%  9%  937  0.104 11.3%
w2019  730 50% 29% 21%  562  0.334 16.4%
w2022 1113 45% 45% 11% 2396  0.237 12.6%
m2004 1458 50% 42%  8%    3 -0.149  0.0%
m2010 1456 35% 57%  9%  446  0.351 17.3%
m2016 1461 43% 42% 15% 1499  0.190 13.2%
m2022 1113 45% 45% 11% 2396  0.237 12.6%
