mode,code,date,grade,PT,TY,DN,DL,LK,SF,close,trigger,stop,risk,prbook_warn,triggered_5d,entry_5d,exit_5d,exit_date_5d,stopped_5d,r_5d,triggered_10d,entry_10d,exit_10d,exit_date_10d,stopped_10d,r_10d,triggered_20d,entry_20d,exit_20d,exit_date_20d,stopped_20d,r_20d
prebreak,002304,2016-06-08,S,S,A,C,S,S,A,52.0107,48.94,46.99,1.95,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,601877,2016-08-29,S,S,A,C,S,S,A,16.6409,17.02,16.36,0.66,,1,17.02,19.0432,2016-09-13,0,3.0439,1,17.02,19.0029,2016-09-22,0,2.9829,1,17.02,18.3988,2016-10-13,0,2.0681
prebreak,600059,2016-09-06,S,S,A,C,S,S,A,9.5918,9.97,9.47,0.5,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,002734,2016-09-21,S,S,A,C,S,S,A,11.8171,12.0,11.5,0.5,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,600566,2016-09-28,S,S,A,C,S,S,A,20.1432,20.29,19.44,0.85,,1,20.29,21.6508,2016-10-12,0,1.5818,1,20.29,22.2902,2016-10-19,0,2.3335,1,20.29,23.2324,2016-11-02,0,3.4413
prebreak,002415,2016-09-29,S,S,A,C,S,S,A,12.9149,13.2,12.6,0.6,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,600566,2016-10-12,S,S,A,C,S,S,A,21.6508,20.29,19.45,0.84,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,002051,2016-10-13,S,S,A,C,S,S,A,15.4716,15.0,14.36,0.64,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,002415,2016-10-13,S,S,A,C,S,S,A,13.4054,13.29,12.6,0.69,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,002649,2016-10-14,S,S,A,C,S,S,A,11.8249,11.96,11.41,0.55,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,1,11.96,13.916,2016-11-11,0,3.5376
prebreak,002317,2016-10-18,S,S,A,C,S,S,A,11.9913,12.06,11.54,0.52,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,002415,2016-10-20,S,S,A,C,S,S,A,13.4481,13.61,13.08,0.53,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,000026,2016-10-25,S,S,A,C,S,S,A,11.488,10.58,10.02,0.56,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,000423,2016-10-26,S,S,A,C,S,S,A,46.0157,46.57,44.31,2.26,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,1,46.57,44.8941,2016-11-21,0,-0.7567
prebreak,300195,2016-10-27,S,S,A,C,S,S,A,16.9374,17.58,16.67,0.91,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,300118,2016-11-01,S,S,A,C,S,S,A,15.283,15.59,15.09,0.5,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,000590,2016-11-03,S,S,A,C,S,S,A,21.5,21.31,20.54,0.77,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,002008,2016-11-04,S,S,A,C,S,S,A,21.9167,21.64,20.68,0.96,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,002649,2016-11-04,S,S,A,C,S,S,A,11.9534,11.41,10.88,0.53,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,000590,2016-11-10,S,S,A,C,S,S,A,22.47,21.31,20.54,0.77,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,000423,2016-11-16,S,S,A,C,S,S,A,45.3303,46.25,44.66,1.59,,1,46.25,44.8941,2016-11-21,0,-0.8743,1,46.25,44.8941,2016-11-21,0,-0.8743,1,46.25,44.8941,2016-11-21,0,-0.8743
prebreak,002773,2016-11-16,S,S,A,C,S,S,A,40.3024,39.43,37.79,1.64,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,603589,2016-11-17,S,S,A,C,S,S,A,26.2889,27.35,26.08,1.27,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,600529,2016-11-18,S,S,A,C,S,S,A,9.6952,9.69,9.18,0.51,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,002394,2016-11-30,S,S,A,C,S,S,A,12.3444,12.39,11.86,0.53,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,600323,2016-12-01,S,S,A,C,S,S,A,12.5464,13.03,12.43,0.6,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,603030,2016-12-01,S,S,A,C,S,S,A,10.3725,11.02,10.45,0.57,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,603168,2016-12-05,S,S,A,C,S,S,A,22.8965,24.17,23.27,0.9,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,002763,2016-12-06,S,S,A,C,S,S,A,11.7923,12.75,12.25,0.5,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,300291,2016-12-06,S,S,A,C,S,S,A,22.0684,23.4,22.44,0.96,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,002394,2016-12-07,S,S,A,C,S,S,A,12.0443,12.39,11.86,0.53,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,600660,2016-12-07,S,S,A,C,S,S,A,13.4418,13.55,12.99,0.56,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,000663,2016-12-09,S,S,A,C,S,S,A,15.26,14.6,13.89,0.71,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
