code,date,grade,entry,risk,sig_day_pct,trig_pct,conf_ratio,variant,r_full,r_money,weight,kind
600207,2001-03-28,S,16.86,0.74,-0.0152,0.0069,0.0,1R,-1.017,-1.017,1.0,direct_1r
600600,2009-12-10,S,28.67,1.49,0.0129,0.0041,0.0,1R,-0.446,-0.446,1.0,direct_1r
600875,2010-04-20,S,18.27,0.79,0.0286,0.033,0.0,1R,1.005,1.005,1.0,direct_1r
601628,2010-06-02,S,18.83,0.9,-0.0074,0.0504,0.0,1R,0.768,0.768,1.0,direct_1r
600054,2010-08-05,S,11.51,0.5,0.0138,0.056,0.0,1R,2.738,2.738,1.0,direct_1r
601088,2010-09-08,S,9.39,0.5,-0.0029,0.0928,0.0,1R,2.553,2.553,1.0,direct_1r
002028,2011-03-01,S,12.18,0.54,0.0008,0.0195,0.0,1R,-0.759,-0.759,1.0,direct_1r
600600,2011-04-14,S,26.21,1.16,0.0015,0.0168,0.0,1R,1.165,1.165,1.0,direct_1r
601601,2011-09-20,S,13.18,0.56,0.0159,0.0245,0.0,1R,-1.017,-1.017,1.0,direct_1r
601601,2011-09-27,S,13.18,0.56,0.0107,0.0283,0.0,1R,-0.564,-0.564,1.0,direct_1r
600009,2011-10-11,S,10.11,0.5,0.0059,0.0418,0.0,1R,1.288,1.288,1.0,direct_1r
601001,2011-10-26,S,12.51,0.63,-0.0052,0.0115,0.0,1R,-1.014,-1.014,1.0,direct_1r
600779,2011-11-17,S,19.51,0.89,-0.0067,0.0104,0.0,1R,-1.016,-1.016,1.0,direct_1r
000858,2011-11-21,S,25.19,1.01,0.0185,0.0141,0.0,1R,-1.018,-1.018,1.0,direct_1r
601601,2011-11-29,S,12.21,0.57,0.0238,0.0623,0.0,1R,-1.016,-1.016,1.0,direct_1r
600508,2012-03-30,S,11.88,0.61,-0.009,0.0394,0.0,1R,-0.078,-0.078,1.0,direct_1r
000538,2012-04-05,S,18.17,0.77,0.0122,0.0071,0.0,1R,-0.033,-0.033,1.0,direct_1r
601001,2012-04-19,S,10.54,0.52,-0.0105,0.012,0.0,1R,-1.015,-1.015,1.0,direct_1r
002299,2012-04-20,S,11.2,0.5,0.0111,0.0062,0.0,1R,1.059,1.059,1.0,direct_1r
600508,2012-04-26,S,11.24,0.53,0.0107,0.0394,0.0,1R,0.29,0.29,1.0,direct_1r
600875,2012-04-26,S,18.5,0.94,0.0022,0.0224,0.0,1R,-1.014,-1.014,1.0,direct_1r
000858,2012-05-03,S,23.67,1.09,0.0095,0.0232,0.0,1R,-1.016,-1.016,1.0,direct_1r
600875,2012-05-14,S,18.67,0.95,0.0036,0.0248,0.0,1R,-1.014,-1.014,1.0,direct_1r
000538,2012-05-22,S,18.37,0.73,0.0112,-0.0052,0.0,1R,2.643,2.643,1.0,direct_1r
600875,2012-05-22,S,18.29,0.82,0.0191,0.0248,0.0,1R,-1.016,-1.016,1.0,direct_1r
601318,2012-05-31,S,13.78,0.6,-0.0085,0.0654,0.0,1R,1.778,1.778,1.0,direct_1r
601628,2012-06-11,S,13.62,0.51,0.0194,0.0719,0.0,1R,2.56,2.56,1.0,direct_1r
000422,2012-09-03,S,11.82,0.6,0.0128,0.0055,0.0,1R,-1.014,-1.014,1.0,direct_1r
601888,2012-09-03,S,12.57,0.65,0.0088,0.0298,0.0,1R,-1.014,-1.014,1.0,direct_1r
000538,2012-09-05,S,20.67,1.04,0.0057,0.0367,0.0,1R,1.354,1.354,1.0,direct_1r
600547,2012-09-14,S,17.05,0.81,0.0531,0.0116,0.0,1R,1.951,1.951,1.0,direct_1r
601888,2012-09-24,S,12.87,0.57,0.0196,0.0299,0.0,1R,0.055,0.055,1.0,direct_1r
000568,2012-10-18,S,26.08,1.16,0.0062,-0.0074,0.0,1R,-1.016,-1.016,1.0,direct_1r
600141,2012-12-06,S,10.83,0.54,-0.01,0.033,0.0,1R,1.605,1.605,1.0,direct_1r
002353,2012-12-18,S,21.65,1.02,-0.0041,0.0117,0.0,1R,5.829,5.829,1.0,direct_1r
600547,2012-12-21,S,17.97,0.95,-0.0086,0.0192,0.0,1R,0.029,0.029,1.0,direct_1r
002393,2013-05-10,S,17.36,0.87,0.0102,0.0402,0.0,1R,-0.625,-0.625,1.0,direct_1r
002393,2013-05-17,S,17.36,0.87,0.02,0.0018,0.0,1R,-1.015,-1.015,1.0,direct_1r
601808,2013-07-10,S,13.36,0.61,0.0284,0.0509,0.0,1R,-0.347,-0.347,1.0,direct_1r
002393,2013-11-01,S,17.83,0.93,0.0019,0.038,0.0,1R,0.671,0.671,1.0,direct_1r
601336,2013-12-03,S,18.06,0.95,0.0086,0.0024,0.0,1R,-1.014,-1.014,1.0,direct_1r
600062,2014-02-14,S,11.73,0.51,0.0131,0.0104,0.0,1R,-1.017,-1.017,1.0,direct_1r
000568,2014-02-19,S,13.31,0.7,0.0132,0.1002,0.0,1R,0.04,0.04,1.0,direct_1r
601336,2014-02-19,S,16.76,0.74,0.0242,-0.0045,0.0,1R,-1.017,-1.017,1.0,direct_1r
002275,2014-03-21,S,9.9,0.53,0.0531,0.0612,0.0,1R,1.274,1.274,1.0,direct_1r
600309,2014-03-21,S,10.72,0.53,0.0316,0.0309,0.0,1R,-1.015,-1.015,1.0,direct_1r
600600,2014-05-16,S,33.29,1.48,0.0206,0.014,0.0,1R,-0.256,-0.256,1.0,direct_1r
000917,2014-06-03,S,14.22,0.52,0.0133,0.0194,0.0,1R,0.876,0.876,1.0,direct_1r
000917,2014-06-10,S,14.45,0.71,0.0209,0.0164,0.0,1R,2.922,2.922,1.0,direct_1r
000917,2014-06-24,S,14.74,0.66,0.0091,0.0285,0.0,1R,0.97,0.97,1.0,direct_1r
600332,2014-07-14,S,20.39,0.93,0.0078,0.0293,0.0,1R,0.935,0.935,1.0,direct_1r
600535,2014-07-25,S,22.03,0.94,-0.0013,0.0186,0.0,1R,0.203,0.203,1.0,direct_1r
600138,2014-09-02,S,13.76,0.66,0.0035,0.0519,0.0,1R,2.424,2.424,1.0,direct_1r
600058,2014-09-18,S,12.28,0.59,0.0125,0.0123,0.0,1R,-1.015,-1.015,1.0,direct_1r
600315,2014-09-18,S,32.41,1.59,0.0031,0.0304,0.0,1R,0.735,0.735,1.0,direct_1r
601888,2014-09-26,S,17.41,0.86,-0.0377,-0.0201,0.0,1R,-1.015,-1.015,1.0,direct_1r
000969,2014-10-08,S,10.0,0.52,-0.0038,0.0125,0.0,1R,-1.014,-1.014,1.0,direct_1r
600594,2014-10-14,S,16.58,0.7,0.0042,0.022,0.0,1R,-1.017,-1.017,1.0,direct_1r
002051,2014-10-24,S,11.35,0.57,-0.0125,0.0253,0.0,1R,5.262,5.262,1.0,direct_1r
600648,2014-10-24,S,21.44,0.8,0.0109,0.0302,0.0,1R,3.002,3.002,1.0,direct_1r
600486,2014-10-29,S,13.36,0.63,0.0611,-0.0178,0.0,1R,2.116,2.116,1.0,direct_1r
002051,2014-10-31,S,11.04,0.5,0.0221,0.0824,0.0,1R,8.564,8.564,1.0,direct_1r
000538,2014-11-04,S,29.03,1.38,-0.0142,0.0408,0.0,1R,1.141,1.141,1.0,direct_1r
000917,2014-11-05,S,18.1,0.93,-0.0034,0.0615,0.0,1R,0.467,0.467,1.0,direct_1r
002428,2014-11-05,S,14.06,0.58,-0.0249,0.0165,0.0,1R,3.246,3.246,1.0,direct_1r
600654,2014-11-05,S,10.5,0.5,0.0156,0.0739,0.0,1R,-1.015,-1.015,1.0,direct_1r
600292,2014-11-06,S,15.94,0.66,0.0221,0.0496,0.0,1R,1.369,1.369,1.0,direct_1r
600436,2014-11-06,S,22.17,1.06,-0.0122,0.0532,0.0,1R,-1.015,-1.015,1.0,direct_1r
000701,2014-11-12,S,12.33,0.52,0.0179,0.0024,0.0,1R,-1.017,-1.017,1.0,direct_1r
000917,2014-11-12,S,17.81,0.73,0.0064,0.0615,0.0,1R,-1.018,-1.018,1.0,direct_1r
002428,2014-11-12,S,13.72,0.71,0.0127,0.0259,0.0,1R,1.957,1.957,1.0,direct_1r
300070,2014-11-12,S,11.16,0.56,-0.0036,0.0385,0.0,1R,4.832,4.832,1.0,direct_1r
600706,2014-11-12,S,11.62,0.59,0.0219,0.0188,0.0,1R,2.091,2.091,1.0,direct_1r
600111,2014-11-13,S,13.99,0.55,0.044,-0.0185,0.0,1R,3.579,3.579,1.0,direct_1r
600436,2014-11-13,S,22.17,1.06,-0.0187,0.0532,0.0,1R,-1.015,-1.015,1.0,direct_1r
600309,2014-11-14,S,11.74,0.58,0.0231,0.016,0.0,1R,1.682,1.682,1.0,direct_1r
