code,date,grade,entry,risk,sig_day_pct,trig_pct,conf_ratio,variant,r_full,r_money,weight,kind
002373,2019-01-18,S,11.87,0.62,0.0025,0.0401,1.0193,V3,3.687,3.687,1.0,confirmed
000999,2019-01-21,S,11.52,0.5,-0.0138,0.0017,1.0102,V3,1.857,1.857,1.0,confirmed
000776,2019-02-15,S,11.42,0.55,-0.0143,0.0581,1.0555,V3,3.754,3.754,1.0,confirmed
600999,2019-02-18,S,10.24,0.51,0.0495,0.0,1.0721,V3,4.001,4.001,1.0,confirmed
600150,2019-02-19,S,13.08,0.68,0.0211,0.0103,1.0153,V3,7.977,7.977,1.0,confirmed
002151,2019-02-20,S,21.84,1.07,-0.0152,-0.0192,1.1077,V3,3.882,3.882,1.0,confirmed
300498,2019-02-20,S,20.01,0.69,0.0365,0.0127,1.1406,V3,4.053,2.026,0.5,reject_half
300176,2019-03-05,S,39.51,1.85,0.0757,0.0046,1.121,V3,2.567,1.284,0.5,reject_half
600897,2019-03-29,S,14.5,0.6,0.0353,0.0104,0.9948,V3,-0.144,-0.072,0.5,reject_half
601800,2019-04-04,S,10.21,0.53,0.0247,0.0322,1.1165,V3,-1.014,-1.014,1.0,confirmed
000895,2019-05-31,S,18.1,0.82,-0.0036,0.0422,0.0,V3,0.12,0.06,0.5,no_confirm_space
600388,2019-06-20,S,10.48,0.53,0.0506,0.0155,1.0023,V3,0.03,0.015,0.5,reject_half
600388,2019-06-27,S,10.48,0.53,0.041,-0.0244,1.0393,V3,-1.014,-1.014,1.0,confirmed
600885,2019-07-26,S,11.98,0.56,-0.009,0.0091,1.0164,V3,-0.669,-0.669,1.0,confirmed
600315,2019-08-15,S,29.87,1.43,0.0096,-0.0446,1.0701,V3,1.144,1.144,1.0,confirmed
600104,2019-08-20,S,20.4,0.92,-0.0098,0.0387,1.001,V3,-0.268,-0.268,1.0,confirmed
600885,2019-08-23,S,12.02,0.55,-0.0041,0.035,1.0013,V3,0.165,0.165,1.0,confirmed
600104,2019-08-27,S,20.16,0.71,0.0387,0.0048,1.013,V3,-1.021,-1.021,1.0,confirmed
600048,2019-09-20,S,11.58,0.56,-0.0155,0.0566,1.041,V3,0.64,0.64,1.0,confirmed
600048,2019-09-27,S,11.42,0.57,-0.0152,0.0566,1.0556,V3,-0.048,-0.048,1.0,confirmed
000997,2019-10-22,S,14.95,0.71,0.0128,0.0998,0.0,V3,-1.015,-0.508,0.5,stop_half
002223,2019-10-25,S,19.7,0.75,0.0103,0.0429,0.0,V3,-1.019,-0.51,0.5,stop_half
603678,2019-11-14,S,20.75,1.08,0.0035,0.0484,0.9736,V3,-0.522,-0.261,0.5,reject_half
603180,2019-11-25,S,28.38,1.11,-0.0131,0.0094,1.0114,V3,-0.67,-0.67,1.0,confirmed
600754,2019-11-29,S,22.23,1.15,0.0118,0.017,1.0138,V3,3.815,3.815,1.0,confirmed
300001,2019-12-05,S,15.86,0.83,0.0267,0.0489,1.1034,V3,2.101,1.051,0.5,skip_add
