code,name,price,涨幅%,换手率%,成交量,MA5,MA20,RSI,评级,策略,环境,风险档,触发价,止损价,每股风险,TY高,TY低,突破状态,放量阈值,动量20日%,C23,C23原因
600004,白云机场,7.66,-0.7772020725388518,0.0,82503.0,7.824,7.775,0,S,钻潜评级策略,bad,0.5R,8.04,7.63,0.41,8.02,7.65,未突破,195629.0,8.6,不达标,止损0.41元<0.5
600269,赣粤高速,3.95,-1.741293532338295,0.0,273692.0,4.078,4.0435,0,S,钻潜评级策略,weak,0.5R,4.21,3.99,0.22,4.2,4.0,未突破,379314.0,3.7,不达标,止损0.22元<0.5
600305,恒顺醋业,6.88,-1.2912482065997155,0.0,80137.0,7.022,6.819,0,S,钻潜评级策略,good,1R,7.19,6.83,0.36,7.18,6.84,未突破,147034.0,11.3,不达标,动量11.3%>10%；止损0.36元<0.5
600479,千金药业,9.71,-0.20554984583761593,0.0,39624.0,9.776,9.7335,0,S,钻潜评级策略,weak,0.5R,9.96,9.59,0.37,9.94,9.61,未突破,95314.0,5.4,不达标,止损0.37元<0.5
600587,新华医疗,12.72,-1.3953488372092981,0.0,61236.0,12.934000000000001,12.770999999999999,0,S,钻潜评级策略,good,1R,13.22,12.65,0.57,13.19,12.68,未突破,130400.0,11.0,不达标,动量11.0%>10%
600597,光明乳业,6.83,-1.3005780346820761,0.0,101440.0,7.004,6.7935,0,S,钻潜评级策略,weak,0.5R,7.19,6.87,0.32,7.18,6.88,未突破,183507.0,14.3,不达标,动量14.3%>10%；止损0.32元<0.5
600717,天津港,4.3,-1.1494252873563204,0.0,178061.0,4.388,4.285,0,S,钻潜评级策略,weak,0.5R,4.5,4.33,0.17,4.49,4.34,未突破,373418.0,12.5,不达标,动量12.5%>10%；止损0.17元<0.5
600757,长江传媒,7.77,-2.264150943396237,0.0,119179.0,8.058,7.8125,0,S,钻潜评级策略,weak,0.5R,8.29,7.92,0.37,8.27,7.94,未突破,156647.0,12.3,不达标,动量12.3%>10%；止损0.37元<0.5
600820,隧道股份,5.43,-0.7312614259597838,0.0,203571.0,5.5760000000000005,5.55,0,S,钻潜评级策略,weak,0.5R,5.77,5.52,0.25,5.76,5.53,未突破,327892.0,7.4,不达标,止损0.25元<0.5
600886,国投电力,14.88,0.6085192697768971,0.0,285653.0,15.034,14.828999999999999,0,S,钻潜评级策略,good,1R,15.41,14.65,0.76,15.38,14.68,未突破,770282.0,12.2,不达标,动量12.2%>10%
600918,中泰证券,5.58,-1.2389380530973493,0.0,295708.0,5.65,5.6145,0,S,钻潜评级策略,good,1R,5.74,5.54,0.2,5.73,5.55,未突破,789483.0,6.9,不达标,止损0.20元<0.5
