code,name,price,涨幅%,换手率%,成交量,MA5,MA20,RSI,评级,策略,环境,风险档,触发价,止损价,每股风险,TY高,TY低,突破状态,放量阈值,动量20日%,C23,C23原因
600036,招商银行,38.97,0.07704160246533309,0.0,853754.0,39.434,38.722500000000004,0,S,钻潜评级策略,good,1R,40.63,38.64,1.99,40.55,38.72,未突破,1597257.0,8.2,达标,
600196,复星医药,22.76,-0.8278867102396448,0.0,183175.0,23.056,23.455,0,S,钻潜评级策略,good,1R,23.59,22.64,0.95,23.54,22.69,未突破,446011.0,2.8,达标,
600285,羚锐制药,22.19,-1.2461059190031043,0.0,74832.0,22.714,22.628999999999998,0,S,钻潜评级策略,good,1R,22.79,21.81,0.98,22.74,21.85,未突破,175503.0,4.6,达标,
600332,白云山,21.39,-0.46533271288971,0.0,110100.0,21.848000000000003,21.970499999999998,0,S,钻潜评级策略,weak,0.5R,22.46,21.39,1.07,22.42,21.43,未突破,193466.0,5.8,达标,
600900,长江电力,27.75,-0.036023054755052186,0.0,1070926.0,28.389999999999997,28.617,0,S,钻潜评级策略,weak,0.5R,29.63,28.12,1.51,29.57,28.18,未突破,2404473.0,6.7,达标,
603043,广州酒家,13.66,-1.157742402315487,0.0,39816.0,13.972,13.563999999999998,0,S,钻潜评级策略,weak,0.5R,14.41,13.77,0.64,14.38,13.8,未突破,55587.0,9.5,达标,
603368,柳药集团,15.51,0.3883495145631022,0.0,38939.0,15.63,15.5285,0,S,钻潜评级策略,weak,0.5R,15.93,15.25,0.68,15.9,15.28,未突破,62569.0,5.2,达标,
603587,地素时尚,11.48,-0.43365134431916363,0.0,21167.0,11.623999999999999,11.602,0,S,钻潜评级策略,weak,0.5R,12.01,11.43,0.58,11.99,11.45,未突破,31440.0,4.2,达标,
603658,安图生物,32.01,-1.9902020820575572,0.0,30650.0,33.102,32.44199999999999,0,S,钻潜评级策略,good,1R,33.53,32.05,1.48,33.46,32.11,未突破,51245.0,9.6,达标,
603858,步长制药,15.43,-1.4687100893997496,0.0,44428.0,15.722,15.753,0,S,钻潜评级策略,good,1R,16.08,15.3,0.78,16.05,15.33,未突破,117026.0,3.0,达标,
603856,东宏股份,11.35,-0.8733624454148492,0.0,42165.0,11.404,11.405,0,S,钻潜评级策略,bad,0.5R,11.63,11.12,0.51,11.61,11.14,未突破,62501.0,-9.6,达标,
000513,丽珠集团,30.13,-0.7902535396773214,0.0,54978.0,30.694,30.758499999999998,0,S,钻潜评级策略,good,1R,31.4,29.88,1.52,31.34,29.94,未突破,102694.0,5.2,达标,
