code,date,grade,r,entry,cause
600727,2000-05-17,S,1.52,13.21,slow_draw
600727,2000-05-24,A,1.86,13.21,slow_draw
600727,2000-05-31,A,2.21,13.21,slow_draw
000682,2000-11-10,A,1.57,14.17,slow_draw
000931,2000-11-13,A,-0.9,21.86,slow_draw
600171,2000-11-20,B,-0.22,11.92,slow_draw
000682,2000-12-01,S,-1.02,14.17,slow_draw
600689,2001-01-09,B,-1.01,10.16,slow_draw
600671,2001-01-10,A,-1.02,13.38,slow_draw
600207,2001-03-28,S,-1.02,16.86,slow_draw
600756,2001-05-21,B,-1.02,12.25,slow_draw
000557,2001-06-21,B,0.97,20.82,slow_draw
600215,2001-06-26,A,-1.01,10.17,slow_draw
600009,2004-11-05,A,-0.26,10.05,slow_draw
600009,2005-06-17,A,0.12,10.9,slow_draw
600009,2005-07-29,A,-1.02,11.17,slow_draw
600009,2006-09-19,A,0.73,10.94,slow_draw
600009,2008-01-11,B,-1.01,31.09,slow_draw
600009,2008-01-18,B,-1.01,31.09,limit_down
600009,2008-02-29,A,-1.02,24.89,limit_down
002022,2009-06-16,A,1.81,11.74,slow_draw
002022,2009-06-23,A,1.02,11.74,slow_draw
002022,2009-06-30,B,0.24,11.74,limit_down
600511,2009-07-03,B,-1.02,14.12,slow_draw
002022,2009-07-08,B,0.69,11.74,slow_draw
600511,2009-07-10,B,-1.02,14.12,slow_draw
002200,2009-08-03,B,-1.01,22.53,fade_high
002200,2009-08-10,A,-1.01,22.53,limit_down
600315,2009-08-10,B,-1.01,10.66,slow_draw
002200,2009-08-18,A,-1.01,22.53,slow_draw
600062,2009-09-01,S,-0.88,11.2,slow_draw
600009,2009-09-17,B,-1.02,11.72,slow_draw
600009,2009-10-09,B,0.99,12.02,fade_high
000538,2009-10-13,B,2.29,12.26,slow_draw
000423,2009-10-14,B,4.55,14.29,slow_draw
000538,2009-10-20,B,1.81,12.86,fade_high
002200,2009-10-22,B,2.47,26.15,slow_draw
000423,2009-10-28,B,2.28,15.15,slow_draw
600444,2009-11-10,A,0.05,13.29,slow_draw
600444,2009-11-17,A,-1.02,13.89,slow_draw
600486,2009-11-19,S,1.11,10.12,slow_draw
600315,2009-12-01,B,-1.01,13.38,slow_draw
600600,2009-12-03,A,-1.02,28.53,slow_draw
600600,2009-12-10,S,-0.45,28.67,slow_draw
000869,2009-12-14,B,-0.54,41.98,slow_draw
600616,2009-12-14,B,-1.01,10.37,slow_draw
600062,2009-12-23,A,-1.01,12.23,slow_draw
600600,2009-12-24,A,-0.13,28.29,slow_draw
600062,2009-12-30,A,-1.02,12.67,slow_draw
600600,2009-12-31,A,-1.01,28.29,slow_draw
600600,2010-01-08,B,-1.01,28.29,slow_draw
600600,2010-01-15,A,-1.02,28.53,slow_draw
000950,2010-02-01,B,-1.01,11.54,slow_draw
000950,2010-02-22,B,-1.02,11.41,slow_draw
600009,2010-03-01,B,-1.02,15.24,slow_draw
000950,2010-03-03,B,-1.02,11.41,slow_draw
000950,2010-03-24,A,-1.02,11.43,slow_draw
000792,2010-03-30,B,-1.02,33.54,slow_draw
600550,2010-03-30,A,-1.02,26.78,slow_draw
600096,2010-03-31,A,-1.02,18.94,slow_draw
000950,2010-04-01,A,-1.02,11.47,slow_draw
600329,2010-04-01,B,1.21,9.51,slow_draw
000792,2010-04-07,A,-1.03,33.23,slow_draw
600550,2010-04-07,A,-1.02,27.45,slow_draw
600096,2010-04-08,A,-1.02,19.28,slow_draw
000686,2010-04-09,A,-1.01,13.37,limit_down
000950,2010-04-09,A,-1.02,11.39,slow_draw
600329,2010-04-09,B,1.23,9.51,slow_draw
000028,2010-04-13,A,1.47,16.65,slow_draw
600550,2010-04-14,B,-1.02,26.95,slow_draw
600329,2010-04-16,B,-1.01,9.93,slow_draw
600875,2010-04-20,S,1.01,18.27,slow_draw
600550,2010-04-21,B,-1.02,26.86,slow_draw
600062,2010-05-24,A,-1.01,14.54,slow_draw
601628,2010-06-02,S,0.77,18.83,fade_high
600875,2010-06-09,A,-1.01,19.74,slow_draw
601601,2010-06-10,B,0.02,13.46,fade_high
601628,2010-06-10,A,-1.02,18.83,fade_high
600096,2010-06-17,B,-1.02,14.4,fade_high
000860,2010-06-22,A,-1.01,12.25,slow_draw
601601,2010-06-22,A,0.7,13.35,slow_draw
601601,2010-07-06,B,1.67,13.35,slow_draw
600519,2010-07-07,A,3.42,69.17,slow_draw
000568,2010-07-08,A,3.58,18.61,slow_draw
002024,2010-07-08,A,1.65,11.3,slow_draw
000858,2010-07-16,B,3.58,17.69,slow_draw
600511,2010-07-20,A,2.48,17.73,slow_draw
000538,2010-07-22,B,1.96,18.04,slow_draw
002024,2010-07-22,A,3.28,11.3,slow_draw
000858,2010-07-23,B,3.22,17.69,slow_draw
601628,2010-07-27,A,0.06,18.35,slow_draw
002028,2010-07-28,B,-1.02,12.6,slow_draw
000538,2010-07-29,A,2.26,17.85,slow_draw
000538,2010-08-05,A,2.96,17.85,slow_draw
600054,2010-08-05,S,2.74,11.51,fade_high
600859,2010-08-06,A,7.0,20.62,slow_draw
600600,2010-08-09,S,0.43,28.01,slow_draw
600150,2010-08-11,B,-1.01,27.82,slow_draw
600858,2010-08-11,B,2.5,13.38,slow_draw
600859,2010-08-13,A,6.82,20.62,slow_draw
600511,2010-08-17,B,1.09,18.23,slow_draw
601601,2010-08-17,A,-1.02,14.99,slow_draw
601628,2010-08-17,A,-1.01,18.69,slow_draw
600150,2010-08-18,A,-1.01,27.82,slow_draw
600858,2010-08-18,A,2.37,13.38,slow_draw
600600,2010-08-23,B,2.42,28.01,slow_draw
000538,2010-08-26,B,5.72,20.0,slow_draw
600150,2010-08-26,A,-1.01,27.82,slow_draw
600062,2010-08-27,B,1.88,14.51,fade_high
600600,2010-08-30,B,2.31,28.01,slow_draw
000538,2010-09-02,B,5.16,20.0,slow_draw
002187,2010-09-02,A,-0.19,12.42,slow_draw
600150,2010-09-02,S,-1.01,27.82,slow_draw
600600,2010-09-06,B,-1.02,29.61,slow_draw
601628,2010-09-07,A,3.09,17.73,slow_draw
000869,2010-09-08,B,3.71,55.25,fade_high
600598,2010-09-08,B,-1.01,9.82,fade_high
601088,2010-09-08,S,2.55,9.39,fade_high
600600,2010-09-13,B,-1.02,29.61,slow_draw
002186,2010-09-14,A,0.52,13.58,limit_down
601628,2010-09-14,A,5.87,17.56,slow_draw
000759,2010-09-17,B,-1.01,12.09,slow_draw
600600,2010-09-20,B,-1.02,29.61,slow_draw
601601,2010-09-21,A,1.98,14.72,fade_high
600150,2010-09-28,A,4.21,26.71,fade_high
000759,2010-09-29,A,-1.02,11.91,slow_draw
600600,2010-09-30,B,-1.02,29.61,slow_draw
601601,2010-10-08,A,3.83,13.85,fade_high
600150,2010-10-12,A,4.52,26.71,slow_draw
000759,2010-10-13,A,2.76,11.91,slow_draw
600062,2010-10-13,B,0.68,16.46,slow_draw
600511,2010-10-18,B,2.12,20.27,slow_draw
000869,2010-10-19,B,4.09,55.25,slow_draw
600150,2010-10-19,A,1.13,26.71,slow_draw
000759,2010-10-20,A,0.9,11.91,slow_draw
600062,2010-10-20,B,-0.44,16.46,slow_draw
600600,2010-10-21,A,-1.02,29.99,slow_draw
600150,2010-10-26,A,0.27,26.71,slow_draw
600858,2010-11-01,B,1.76,13.88,slow_draw
000759,2010-11-03,A,0.98,11.74,slow_draw
600315,2010-11-03,B,0.08,20.7,slow_draw
600519,2010-11-08,A,4.92,89.36,slow_draw
601318,2010-11-09,A,-1.02,20.13,slow_draw
002186,2010-11-26,B,0.73,14.79,limit_down
601628,2010-11-26,A,-1.01,18.07,slow_draw
601601,2010-12-31,B,-1.02,14.35,slow_draw
002028,2011-02-15,S,-0.08,11.85,slow_draw
600009,2011-02-28,A,-0.21,11.8,slow_draw
002028,2011-03-01,S,-0.76,12.18,slow_draw
600729,2011-03-01,B,-1.02,23.17,slow_draw
000668,2011-03-07,S,0.43,11.93,slow_draw
600009,2011-03-07,A,-1.01,11.8,slow_draw
600729,2011-03-08,B,-1.02,23.17,slow_draw
600345,2011-03-09,A,-1.02,14.68,slow_draw
000881,2011-03-11,A,-1.02,11.61,slow_draw
600009,2011-03-14,B,-1.01,11.8,slow_draw
600345,2011-03-16,A,-1.02,14.68,slow_draw
600009,2011-03-21,B,0.79,11.8,fade_high
002028,2011-03-22,A,-1.02,12.22,slow_draw
002187,2011-03-23,A,-1.01,11.53,slow_draw
600037,2011-03-24,A,-1.01,10.73,slow_draw
600192,2011-03-24,B,-1.01,9.56,slow_draw
000526,2011-03-30,B,2.06,13.28,slow_draw
600600,2011-04-07,S,2.35,25.39,slow_draw
600138,2011-04-08,B,-1.01,9.64,slow_draw
600600,2011-04-14,S,1.16,26.21,slow_draw
600785,2011-04-14,A,2.98,15.85,slow_draw
600600,2011-04-21,A,1.79,26.06,slow_draw
000538,2011-04-29,A,-0.51,20.47,slow_draw
600729,2011-04-29,A,1.79,21.95,slow_draw
600600,2011-05-06,A,0.14,27.23,slow_draw
600729,2011-05-09,A,1.82,21.95,slow_draw
600600,2011-05-13,A,-1.02,28.0,slow_draw
600729,2011-05-16,A,-0.26,23.31,slow_draw
601088,2011-05-31,A,0.7,11.04,slow_draw
600600,2011-06-03,A,-1.02,27.54,slow_draw
600216,2011-06-07,A,0.46,14.4,slow_draw
600600,2011-06-21,S,1.01,28.08,slow_draw
600009,2011-06-24,A,0.98,10.31,slow_draw
000655,2011-06-27,B,0.04,16.71,slow_draw
002022,2011-06-27,B,1.01,11.2,slow_draw
600600,2011-06-28,A,1.61,26.84,slow_draw
000655,2011-07-04,B,0.17,17.08,slow_draw
