code,date,grade,r,entry,cause
600207,2001-03-28,S,-3.14,16.86,slow_draw
600600,2009-12-10,S,-1.15,28.67,slow_draw
600875,2010-04-20,S,0.43,18.27,slow_draw
601628,2010-06-02,S,-1.22,18.83,fade_high
600054,2010-08-05,S,2.81,11.51,fade_high
601088,2010-09-08,S,3.52,9.39,fade_high
002028,2011-03-01,S,-0.65,12.18,slow_draw
600600,2011-04-14,S,0.6,26.21,slow_draw
601601,2011-09-20,S,-1.57,13.18,slow_draw
601601,2011-09-27,S,-2.18,13.18,slow_draw
600009,2011-10-11,S,1.35,10.11,slow_draw
601001,2011-10-26,S,-2.24,12.51,slow_draw
600779,2011-11-17,S,-2.45,19.51,slow_draw
000858,2011-11-21,S,-2.37,25.19,slow_draw
601601,2011-11-29,S,-0.58,12.21,fade_high
600508,2012-03-30,S,-0.92,11.88,slow_draw
000538,2012-04-05,S,-0.26,18.17,slow_draw
601001,2012-04-19,S,-0.86,10.54,slow_draw
002299,2012-04-20,S,0.48,11.2,slow_draw
600508,2012-04-26,S,0.15,11.24,slow_draw
600875,2012-04-26,S,-0.23,18.5,slow_draw
000858,2012-05-03,S,-0.75,23.67,slow_draw
600875,2012-05-14,S,-2.83,18.67,slow_draw
000538,2012-05-22,S,2.74,18.37,slow_draw
600875,2012-05-22,S,-2.82,18.29,slow_draw
601318,2012-05-31,S,1.21,13.78,fade_high
601628,2012-06-11,S,2.25,13.62,fade_high
000422,2012-09-03,S,-0.84,11.82,slow_draw
601888,2012-09-03,S,-0.93,12.57,slow_draw
000538,2012-09-05,S,1.19,20.67,slow_draw
600547,2012-09-14,S,1.97,17.05,slow_draw
601888,2012-09-24,S,-2.05,12.87,limit_down
000568,2012-10-18,S,-2.51,26.08,slow_draw
600141,2012-12-06,S,1.53,10.83,slow_draw
002353,2012-12-18,S,5.59,21.65,slow_draw
600547,2012-12-21,S,-0.28,17.97,slow_draw
002393,2013-05-10,S,-1.17,17.36,slow_draw
002393,2013-05-17,S,-1.14,17.36,slow_draw
601808,2013-07-10,S,2.88,13.36,fade_high
002393,2013-11-01,S,1.76,17.83,jump_gap
601336,2013-12-03,S,-1.43,18.06,slow_draw
600062,2014-02-14,S,-0.87,11.73,slow_draw
000568,2014-02-19,S,-0.46,13.31,fade_high
601336,2014-02-19,S,-3.39,16.76,slow_draw
002275,2014-03-21,S,1.13,9.9,fade_high
600309,2014-03-21,S,-1.44,10.72,slow_draw
600600,2014-05-16,S,-0.46,33.29,slow_draw
000917,2014-06-03,S,0.79,14.22,slow_draw
000917,2014-06-10,S,2.52,14.45,slow_draw
000917,2014-06-24,S,1.34,14.74,slow_draw
600332,2014-07-14,S,1.13,20.39,slow_draw
600535,2014-07-25,S,-0.3,22.03,slow_draw
600138,2014-09-02,S,2.33,13.76,fade_high
600058,2014-09-18,S,2.57,12.28,slow_draw
600315,2014-09-18,S,-0.2,32.41,slow_draw
601888,2014-09-26,S,-1.31,17.41,slow_draw
000969,2014-10-08,S,-1.07,10.0,slow_draw
600594,2014-10-14,S,-2.58,16.58,slow_draw
002051,2014-10-24,S,7.61,11.35,slow_draw
600648,2014-10-24,S,4.55,21.44,slow_draw
600486,2014-10-29,S,3.52,13.36,slow_draw
002051,2014-10-31,S,7.98,11.04,fade_high
000538,2014-11-04,S,1.96,29.03,slow_draw
000917,2014-11-05,S,-1.0,18.1,fade_high
002428,2014-11-05,S,1.23,14.06,slow_draw
600654,2014-11-05,S,0.27,10.5,fade_high
600292,2014-11-06,S,0.83,15.94,slow_draw
600436,2014-11-06,S,-0.01,22.17,fade_high
000701,2014-11-12,S,0.56,12.33,slow_draw
000917,2014-11-12,S,-0.88,17.81,fade_high
002428,2014-11-12,S,2.03,13.72,slow_draw
300070,2014-11-12,S,5.11,11.16,slow_draw
600706,2014-11-12,S,3.62,11.62,slow_draw
600111,2014-11-13,S,4.52,13.99,slow_draw
600436,2014-11-13,S,-0.01,22.17,fade_high
600309,2014-11-14,S,3.45,11.74,slow_draw
600597,2014-11-14,S,1.3,13.76,slow_draw
600648,2014-11-14,S,3.35,22.06,slow_draw
000049,2014-11-17,S,-4.18,20.42,slow_draw
600729,2014-11-17,S,1.45,13.07,slow_draw
000826,2014-11-21,S,3.3,17.04,slow_draw
601601,2014-11-21,S,9.1,13.52,limit_down
600535,2014-11-24,S,-0.53,23.19,slow_draw
300257,2014-11-25,S,1.54,16.36,slow_draw
002428,2014-11-26,S,0.62,14.08,slow_draw
600805,2014-11-26,S,0.95,10.56,slow_draw
600292,2014-11-27,S,0.76,15.94,slow_draw
601601,2014-11-28,S,15.55,13.52,limit_down
002106,2014-12-01,S,-1.22,11.76,slow_draw
000869,2014-12-02,S,3.42,25.16,slow_draw
002304,2014-12-03,S,8.51,31.24,slow_draw
600805,2014-12-03,S,0.71,10.89,slow_draw
600831,2014-12-03,S,-1.07,9.59,limit_down
002106,2014-12-08,S,-0.97,11.76,slow_draw
600329,2014-12-08,S,-0.38,11.54,slow_draw
000701,2014-12-10,S,-2.26,12.67,fade_high
002653,2014-12-16,S,1.09,17.4,slow_draw
002038,2015-01-05,S,0.66,16.01,slow_draw
000929,2015-01-07,S,1.19,10.67,slow_draw
002186,2015-01-07,S,0.83,18.36,slow_draw
000929,2015-01-14,S,2.01,10.67,fade_high
600138,2015-01-16,S,1.34,15.83,slow_draw
000049,2015-01-21,S,2.98,18.12,slow_draw
600097,2015-01-26,S,1.72,12.05,slow_draw
002008,2015-01-27,S,0.63,16.34,slow_draw
002422,2015-01-27,S,4.77,12.31,slow_draw
000553,2015-01-29,S,0.85,14.06,slow_draw
600983,2015-02-03,S,2.03,10.73,slow_draw
000423,2015-02-09,S,1.82,29.52,slow_draw
002038,2015-02-09,S,6.73,16.81,slow_draw
000919,2015-02-10,S,4.13,11.99,slow_draw
600847,2015-02-10,S,5.94,16.2,fade_high
600983,2015-02-10,S,2.03,10.73,slow_draw
000513,2015-02-11,S,3.14,12.72,slow_draw
000917,2015-02-13,S,6.13,17.09,fade_high
000963,2015-02-13,S,3.11,12.93,slow_draw
600062,2015-02-13,S,5.79,12.79,slow_draw
600557,2015-02-13,S,2.47,19.5,slow_draw
000919,2015-02-17,S,4.13,11.99,slow_draw
000028,2015-02-26,S,4.65,30.5,slow_draw
000999,2015-02-26,S,2.18,11.77,slow_draw
600054,2015-02-26,S,3.19,9.97,slow_draw
000963,2015-02-27,S,3.76,12.57,slow_draw
600557,2015-02-27,S,2.89,19.25,slow_draw
600315,2015-03-09,S,3.32,34.33,fade_high
002186,2015-03-11,S,5.45,19.47,slow_draw
002140,2015-03-12,S,2.76,14.86,slow_draw
000963,2015-03-13,S,4.45,13.02,fade_high
