date,balance,injected_total
2001-03-28,8401.0,0.0
2001-04-06,8323.35,0.0
2010-05-19,8400.33,0.0
2010-07-06,8467.0,0.0
2010-09-02,8737.23,0.0
2010-10-18,8989.1,0.0
2011-03-04,8984.01,0.0
2011-09-23,8924.72,0.0
2011-11-08,7797.37,0.0
2011-11-10,9022.21,0.0
2011-11-30,5185.43,0.0
2011-12-06,7601.22,0.0
2011-12-05,8806.66,0.0
2012-05-02,2541.73,0.0
2012-05-08,2598.73,0.0
2012-05-08,4412.64,0.0
2012-05-18,4545.71,0.0
2012-05-29,3154.22,0.0
2012-05-31,4980.53,0.0
2012-06-07,5345.97,0.0
2012-06-19,4648.06,0.0
2012-07-02,6132.12,0.0
2012-07-10,9116.99,0.0
2012-09-14,5765.17,0.0
2012-09-11,7019.3,0.0
2012-10-10,6231.18,0.0
2012-10-19,8093.67,0.0
2012-10-29,9383.13,0.0
2013-01-08,7754.06,0.0
2013-01-23,9553.3,0.0
2013-06-07,7758.63,0.0
2013-05-22,9547.46,0.0
2013-08-07,9523.96,0.0
2013-12-06,9496.41,0.0
2014-02-25,7711.27,0.0
2014-02-24,9311.47,0.0
2014-03-26,7297.84,0.0
2014-04-18,9333.82,0.0
2014-06-09,9298.61,0.0
2014-07-08,8028.02,0.0
2014-07-22,7524.44,0.0
2014-08-11,7444.8,0.0
2014-08-22,9666.47,0.0
2014-09-05,9798.23,0.0
2014-09-30,8478.92,0.0
2014-10-13,8438.14,0.0
2014-10-22,7945.73,0.0
2014-10-28,6249.3,0.0
2014-11-21,2322.89,0.0
2014-11-21,4706.68,0.0
2014-11-26,1762.11,0.0
2014-11-27,2071.19,0.0
2014-11-28,3539.44,0.0
2014-12-03,2684.97,0.0
2014-12-19,5171.02,0.0
2014-12-24,6602.94,0.0
2014-12-25,8269.38,0.0
2014-12-26,12287.95,0.0
2014-12-31,13355.76,0.0
2015-01-08,10451.59,0.0
2015-01-12,11477.11,0.0
2015-01-28,7643.84,0.0
2015-01-29,8955.82,0.0
2015-02-05,7805.91,0.0
2015-02-11,7258.0,0.0
2015-02-13,7628.44,0.0
2015-02-25,8038.02,0.0
2015-02-27,8540.25,0.0
2015-03-09,8302.11,0.0
2015-03-03,9564.3,0.0
2015-03-06,10689.74,0.0
2015-03-06,11949.49,0.0
2015-03-20,9439.6,0.0
2015-04-09,8805.45,0.0
2015-04-10,10476.66,0.0
2015-04-13,12113.47,0.0
2015-04-20,13684.21,0.0
2015-04-21,15488.2,0.0
2015-06-01,14155.58,0.0
2015-05-28,15830.23,0.0
2016-10-13,13933.33,0.0
2016-11-02,15056.81,0.0
2016-11-11,16446.71,0.0
2016-12-16,11287.35,0.0
2016-12-26,10447.95,0.0
2016-12-23,11519.5,0.0
2016-12-26,13254.42,0.0
2017-01-09,9735.45,0.0
2017-01-12,9688.45,0.0
2017-01-13,10849.87,0.0
2017-01-16,12375.11,0.0
2017-01-26,14368.9,0.0
2017-02-13,11425.62,0.0
2017-02-17,13043.81,0.0
2017-02-27,12313.37,0.0
2017-03-01,13544.32,0.0
2017-03-09,11408.39,0.0
2017-03-21,9602.41,0.0
2017-03-24,9788.08,0.0
2017-03-29,10172.57,0.0
2017-03-29,11833.7,0.0
2017-03-30,13533.85,0.0
2017-04-18,10445.97,0.0
2017-04-13,11652.37,0.0
2017-04-19,12974.71,0.0
2017-04-24,11597.35,0.0
2017-04-27,9567.02,0.0
2017-04-27,11170.22,0.0
2017-05-04,9694.33,0.0
