date,balance,injected_total
2019-01-18,8401.0,0.0
2019-02-22,1815.93,0.0
2019-02-25,4305.22,0.0
2019-03-15,5653.02,0.0
2019-03-18,8108.75,0.0
2019-03-19,9958.6,0.0
2019-04-03,9947.59,0.0
2019-05-06,9836.6,0.0
2019-06-25,8024.01,0.0
2019-07-01,7744.28,0.0
2019-07-10,9732.29,0.0
2019-08-23,7650.51,0.0
2019-09-18,6443.77,0.0
2019-09-23,7654.17,0.0
2019-09-25,9597.2,0.0
2019-10-30,7550.76,0.0
2019-11-11,9443.81,0.0
2019-12-04,9384.91,0.0
2020-01-03,2534.46,0.0
2020-01-08,2434.24,0.0
2020-01-10,4342.61,0.0
2020-01-13,6423.09,0.0
2020-01-13,7880.63,0.0
2020-01-17,4778.64,0.0
2020-02-03,3684.49,0.0
2020-02-03,4911.88,0.0
2020-02-18,4309.49,0.0
2020-02-18,5704.96,0.0
2020-02-24,6137.37,0.0
2020-02-24,7424.49,0.0
2020-02-24,8711.61,0.0
2020-02-28,3988.47,0.0
2020-03-17,4697.89,0.0
2020-03-16,5873.3,0.0
2020-03-13,7038.72,0.0
2020-03-19,5294.79,0.0
2020-03-24,7386.69,0.0
2020-04-15,7701.96,0.0
2020-04-15,9474.57,0.0
2020-05-11,11658.92,0.0
2020-06-02,8398.99,0.0
2020-06-02,9668.32,0.0
2020-06-05,9634.12,0.0
2020-06-10,8339.41,0.0
2020-06-24,4896.57,0.0
2020-07-09,4755.77,0.0
2020-07-13,6530.64,0.0
2020-07-14,8774.6,0.0
2020-07-16,10847.42,0.0
2020-08-03,12939.48,0.0
2020-08-28,14357.68,0.0
2020-10-22,12622.25,0.0
2020-10-30,8990.65,0.0
2020-11-04,9823.1,0.0
2020-11-24,10494.48,0.0
2020-11-26,11918.73,0.0
2020-11-19,13103.16,0.0
2020-11-25,14383.52,0.0
2021-01-25,12588.23,0.0
2021-01-27,14387.52,0.0
2021-02-24,12018.38,0.0
2021-03-18,11373.39,0.0
2021-03-19,12672.49,0.0
2021-04-09,14512.94,0.0
2021-06-02,14797.85,0.0
2021-06-08,14806.89,0.0
2021-07-07,15024.62,0.0
2021-08-04,10974.45,0.0
2021-08-06,11195.52,0.0
2021-08-06,12830.62,0.0
2021-08-27,13477.92,0.0
2021-08-11,14579.7,0.0
2021-08-18,16161.91,0.0
2021-09-10,16107.84,0.0
2021-10-12,12358.65,0.0
2021-10-20,12106.28,0.0
2021-10-26,12235.04,0.0
2021-10-27,11080.82,0.0
2021-10-28,12175.27,0.0
2021-11-15,10374.02,0.0
2021-11-22,11851.41,0.0
2021-11-23,11556.43,0.0
