mode,code,date,grade,PT,TY,DN,DL,LK,SF,close,trigger,stop,risk,prbook_warn,triggered_5d,entry_5d,exit_5d,exit_date_5d,stopped_5d,r_5d,triggered_10d,entry_10d,exit_10d,exit_date_10d,stopped_10d,r_10d,triggered_20d,entry_20d,exit_20d,exit_date_20d,stopped_20d,r_20d
prebreak,603358,2021-01-12,S,S,A,C,S,S,A,9.2016,12.02,11.48,0.54,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,002886,2021-01-14,S,S,A,C,S,S,A,14.8188,14.59,13.92,0.67,,1,14.59,14.6853,2021-01-21,0,0.1256,1,14.59,13.92,2021-01-25,1,-1.0159,1,14.59,13.92,2021-01-25,1,-1.0159
prebreak,002223,2021-01-15,S,S,A,C,S,S,A,26.6454,26.68,25.4,1.28,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,600487,2021-01-15,S,S,A,C,S,S,A,13.5021,13.71,13.13,0.58,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,002138,2021-01-18,S,S,A,C,S,S,A,24.6236,23.67,22.8,0.87,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,002268,2021-01-21,S,S,A,C,S,S,A,16.7106,17.23,16.59,0.64,,1,17.23,18.0119,2021-01-27,0,1.2006,1,17.23,18.0119,2021-01-27,0,1.2006,1,17.23,18.0119,2021-01-27,0,1.2006
prebreak,000988,2021-01-26,S,S,A,C,S,S,A,22.9099,23.85,22.62,1.23,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,000651,2021-01-27,S,S,A,C,S,S,A,41.2456,44.06,41.75,2.31,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,300422,2021-02-01,S,S,A,C,S,S,A,8.9473,10.21,9.71,0.5,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,601088,2021-02-01,S,S,A,C,S,S,A,11.213,12.07,11.44,0.63,,0,0.0,0.0,,0,0.0,1,12.07,12.4743,2021-02-22,0,0.6268,1,12.07,11.9724,2021-02-24,0,-0.1694
prebreak,601318,2021-02-01,S,S,A,C,S,S,A,60.421,65.23,62.81,2.42,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,000988,2021-02-02,S,S,A,C,S,S,A,22.5183,22.74,21.7,1.04,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,600048,2021-02-05,S,S,A,C,S,S,A,11.1695,11.56,11.01,0.55,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,601318,2021-02-08,S,S,A,C,S,S,A,59.8874,65.23,62.81,2.42,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,002734,2021-02-18,S,S,A,C,S,S,A,12.3531,10.96,10.41,0.55,,1,10.96,11.6508,2021-02-25,0,1.2401,1,10.96,11.6085,2021-03-04,0,1.1632,1,10.96,11.3547,2021-03-18,0,0.702
prebreak,000935,2021-02-19,S,S,A,C,S,S,A,13.2352,12.57,11.95,0.62,,1,12.57,13.1403,2021-02-26,0,0.9038,1,12.57,13.4629,2021-03-05,0,1.4238,1,12.57,13.0075,2021-03-19,0,0.6897
prebreak,600585,2021-02-19,S,S,A,C,S,S,A,40.9345,38.57,36.78,1.79,,1,38.57,39.946,2021-02-26,0,0.7519,1,38.57,38.3509,2021-03-05,0,-0.1387,1,38.57,38.613,2021-03-19,0,0.0076
prebreak,000997,2021-02-23,S,S,A,C,S,S,A,13.3942,13.79,13.18,0.61,,1,13.79,13.8147,2021-03-02,0,0.0233,1,13.79,13.7789,2021-03-04,0,-0.0353,1,13.79,13.7789,2021-03-04,0,-0.0353
prebreak,000999,2021-03-02,S,S,A,C,S,S,A,13.1946,13.69,13.08,0.61,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,000651,2021-03-03,S,S,A,C,S,S,A,41.794,41.99,39.81,2.18,,0,0.0,0.0,,0,0.0,1,41.99,43.1825,2021-03-17,0,0.532,1,41.99,43.5296,2021-03-31,0,0.6912
prebreak,000581,2021-03-11,S,S,A,C,S,S,A,17.6233,17.77,16.84,0.93,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,1,17.77,18.4237,2021-04-09,0,0.6879
prebreak,002222,2021-03-11,S,S,A,C,S,S,A,12.2728,11.47,10.92,0.55,,1,11.47,11.9341,2021-03-18,0,0.8274,1,11.47,12.8026,2021-03-25,0,2.4056,1,11.47,14.2445,2021-04-09,0,5.0255
prebreak,000776,2021-03-15,S,S,A,C,S,S,A,13.181,13.57,13.06,0.51,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,603458,2021-03-16,S,S,A,C,S,S,A,11.347,11.47,10.97,0.5,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,000581,2021-03-18,S,S,A,C,S,S,A,17.3002,17.62,16.86,0.76,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,600566,2021-03-18,S,S,A,C,S,S,A,15.9368,16.14,15.35,0.79,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,600030,2021-03-22,S,S,A,C,S,S,A,19.9332,20.15,19.08,1.07,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,601318,2021-03-22,S,S,A,C,S,S,A,60.8402,66.14,63.23,2.91,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,600566,2021-03-25,S,S,A,C,S,S,A,15.4448,16.07,15.35,0.72,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,002380,2021-03-29,S,S,A,C,S,S,A,15.3567,13.95,13.26,0.69,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,600030,2021-03-29,S,S,A,C,S,S,A,20.024,20.3,19.52,0.78,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,000002,2021-03-31,S,S,A,C,S,S,A,25.3802,26.86,25.6,1.26,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,000935,2021-04-02,S,S,A,C,S,S,A,13.3775,13.77,13.21,0.56,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,002380,2021-04-06,S,S,A,C,S,S,A,14.194,13.95,13.26,0.69,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,002741,2021-04-08,S,S,A,C,S,S,A,13.9735,14.43,13.93,0.5,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,002463,2021-04-28,S,S,A,C,S,S,A,12.72,14.15,13.53,0.62,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,603739,2021-04-29,S,S,A,C,S,S,A,16.5801,16.21,15.58,0.63,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,300036,2021-04-30,S,S,A,C,S,S,A,15.6132,16.44,15.85,0.59,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,1,16.44,19.327,2021-06-02,0,4.869
prebreak,601138,2021-04-30,S,S,A,C,S,S,A,11.7012,12.46,11.94,0.52,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,002801,2021-05-06,S,S,A,C,S,S,A,21.6043,23.12,22.05,1.07,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,600783,2021-05-06,S,S,A,C,S,S,A,10.8697,12.46,11.86,0.6,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,002463,2021-05-10,S,S,A,C,S,S,A,12.2014,14.15,13.53,0.62,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,002801,2021-05-13,S,S,A,C,S,S,A,22.507,23.12,22.05,1.07,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,000997,2021-05-17,S,S,A,C,S,S,A,13.6984,13.05,12.42,0.63,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,000063,2021-05-20,S,S,A,C,S,S,A,26.6639,27.09,25.71,1.38,,1,27.09,27.993,2021-05-27,0,0.639,1,27.09,30.0461,2021-06-03,0,2.1259,1,27.09,31.3019,2021-06-18,0,3.0352
prebreak,002801,2021-05-20,S,S,A,C,S,S,A,22.495,22.76,21.9,0.86,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,600895,2021-05-21,S,S,A,C,S,S,A,17.4423,17.1,16.28,0.82,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,603368,2021-05-21,S,S,A,C,S,S,A,16.5835,17.52,16.74,0.78,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,000997,2021-05-24,S,S,A,C,S,S,A,13.6089,13.05,12.42,0.63,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,600566,2021-05-26,S,S,A,C,S,S,A,14.8779,15.17,14.44,0.73,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,000063,2021-05-27,S,S,A,C,S,S,A,27.993,27.41,25.96,1.45,,1,27.41,30.0461,2021-06-03,0,1.8025,1,27.41,30.3486,2021-06-10,0,2.011,1,27.41,29.6337,2021-06-25,0,1.5182
prebreak,002801,2021-05-27,S,S,A,C,S,S,A,23.4639,23.04,22.05,0.99,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
