code,date,grade,entry,risk,trig_pct,variant,r_full,r_money,weight,kind,chase_pct
600727,2000-05-17,S,13.21,0.64,0.0044,C1,1.538,1.538,1.0,direct_1r,
600727,2000-05-24,A,13.21,0.64,0.0437,C1,1.876,1.876,1.0,direct_1r,
600727,2000-05-31,A,13.21,0.64,-0.0087,C1,2.223,2.223,1.0,direct_1r,
000682,2000-11-10,A,14.17,0.6,0.043,C1,1.592,1.592,1.0,direct_1r,
000931,2000-11-13,A,21.86,0.84,-0.0085,C1,-0.876,-0.876,1.0,direct_1r,
600171,2000-11-20,B,11.92,0.56,-0.0062,C1,-0.202,-0.202,1.0,direct_1r,
000682,2000-12-01,S,14.17,0.6,-0.0127,C1,-1.0,-1.0,1.0,direct_1r,
600689,2001-01-09,B,10.16,0.5,0.0163,C1,-1.0,-1.0,1.0,direct_1r,
600671,2001-01-10,A,13.38,0.61,-0.0175,C1,-1.0,-1.0,1.0,direct_1r,
600207,2001-03-28,S,16.86,0.74,0.0069,C1,-1.0,-1.0,1.0,direct_1r,
600756,2001-05-21,B,12.25,0.53,-0.0008,C1,-1.0,-1.0,1.0,direct_1r,
000557,2001-06-21,B,20.82,1.06,-0.0015,C1,0.131,0.065,0.5,reject_half,
600215,2001-06-26,A,10.17,0.54,-0.0097,C1,-1.0,-1.0,1.0,direct_1r,
600009,2004-11-05,A,10.05,0.5,0.0389,C1,-0.244,-0.244,1.0,direct_1r,
600009,2005-06-17,A,10.9,0.53,0.0371,C1,0.133,0.133,1.0,confirm_add,0.0194
600009,2005-07-29,A,11.17,0.54,-0.0035,C1,-1.0,-1.0,1.0,direct_1r,
600009,2006-09-19,A,10.94,0.57,-0.0043,C1,0.747,0.747,1.0,direct_1r,
600009,2008-01-11,B,31.09,1.56,-0.01,C1,-1.0,-1.0,1.0,direct_1r,
600009,2008-01-18,B,31.09,1.56,-0.0097,C1,-1.0,-1.0,1.0,direct_1r,
600009,2008-02-29,A,24.89,1.14,0.0097,C1,-0.266,-0.133,0.5,reject_half,
002022,2009-06-16,A,11.74,0.52,0.0276,C1,1.827,1.827,1.0,direct_1r,
002022,2009-06-23,A,11.74,0.52,-0.0033,C1,1.034,1.034,1.0,direct_1r,
002022,2009-06-30,B,11.74,0.52,-0.0136,C1,0.253,0.253,1.0,direct_1r,
600511,2009-07-03,B,14.12,0.56,0.0289,C1,-1.0,-1.0,1.0,direct_1r,
002022,2009-07-08,B,11.74,0.52,0.0119,C1,0.708,0.708,1.0,direct_1r,
600511,2009-07-10,B,14.12,0.56,0.0108,C1,-1.0,-1.0,1.0,direct_1r,
002200,2009-08-03,B,22.53,1.11,0.082,C1,-1.0,-1.0,1.0,direct_1r,
002200,2009-08-10,A,22.53,1.11,-0.0293,C1,-1.0,-1.0,1.0,direct_1r,
600315,2009-08-10,B,10.66,0.52,0.0216,C1,-1.0,-1.0,1.0,direct_1r,
002200,2009-08-18,A,22.53,1.11,0.0484,C1,-1.0,-1.0,1.0,direct_1r,
600062,2009-09-01,S,11.2,0.58,0.0256,C1,-0.863,-0.863,1.0,direct_1r,
600009,2009-09-17,B,11.72,0.54,-0.0293,C1,-0.364,-0.182,0.5,reject_half,
600009,2009-10-09,B,12.02,0.57,0.0508,C1,1.006,1.006,1.0,direct_1r,
000538,2009-10-13,B,12.26,0.6,-0.0151,C1,2.307,2.307,1.0,direct_1r,
000423,2009-10-14,B,14.29,0.62,0.001,C1,4.566,4.566,1.0,direct_1r,
000538,2009-10-20,B,12.86,0.5,0.1,C1,1.828,1.828,1.0,direct_1r,
002200,2009-10-22,B,26.15,1.14,0.0322,C1,2.491,2.491,1.0,direct_1r,
000423,2009-10-28,B,15.15,0.79,0.0103,C1,2.296,2.296,1.0,direct_1r,
600444,2009-11-10,A,13.29,0.69,0.002,C1,0.067,0.067,1.0,direct_1r,
600444,2009-11-17,A,13.89,0.65,0.022,C1,-1.0,-1.0,1.0,direct_1r,
600486,2009-11-19,S,10.12,0.52,-0.0156,C1,1.125,1.125,1.0,direct_1r,
600315,2009-12-01,B,13.38,0.69,0.0192,C1,-1.0,-1.0,1.0,direct_1r,
600600,2009-12-03,A,28.53,1.28,-0.0196,C1,-1.0,-1.0,1.0,direct_1r,
600600,2009-12-10,S,28.67,1.49,0.0041,C1,-0.431,-0.431,1.0,direct_1r,
000869,2009-12-14,B,41.98,2.07,0.0026,C1,-0.523,-0.523,1.0,direct_1r,
600616,2009-12-14,B,10.37,0.53,0.0107,C1,-1.0,-1.0,1.0,direct_1r,
600062,2009-12-23,A,12.23,0.63,0.0124,C1,-1.0,-1.0,1.0,direct_1r,
600600,2009-12-24,A,28.29,1.43,0.0028,C1,-0.112,-0.112,1.0,direct_1r,
600062,2009-12-30,A,12.67,0.55,0.0253,C1,-1.0,-1.0,1.0,direct_1r,
600600,2009-12-31,A,28.29,1.43,-0.0186,C1,-1.0,-1.0,1.0,direct_1r,
600600,2010-01-08,B,28.29,1.43,0.0138,C1,-1.0,-1.0,1.0,direct_1r,
600600,2010-01-15,A,28.53,1.3,0.0284,C1,-1.0,-1.0,1.0,direct_1r,
000950,2010-02-01,B,11.54,0.56,-0.0184,C1,-1.0,-1.0,1.0,direct_1r,
