code,name,price,涨幅%,换手率%,成交量,MA5,MA20,RSI,评级,策略,环境,风险档,触发价,止损价,每股风险,TY高,TY低,突破状态,放量阈值,动量20日%,C23,C23原因
600195,中牧股份,24.12,1.5578947368421137,0.0,495491.0,23.354000000000003,23.4865,0,S,钻潜评级策略,good,1R,23.81,22.59,1.22,23.76,22.64,已突破,446454.0,0.1,达标,
600196,复星医药,24.12,1.5578947368421137,0.0,495491.0,23.354000000000003,23.4865,0,S,钻潜评级策略,good,1R,23.81,22.59,1.22,23.76,22.64,已突破,446454.0,0.1,达标,
600211,西藏药业,39.73,0.4297269969666173,0.0,55886.0,38.980000000000004,38.788,0,S,钻潜评级策略,good,1R,39.68,37.72,1.96,39.6,37.8,已突破,73222.0,2.4,达标,
603207,小方制药,23.66,2.7355623100303816,0.0,25086.0,22.854000000000003,22.684,0,S,钻潜评级策略,good,1R,23.09,22.12,0.97,23.04,22.16,已突破,24597.0,-2.0,达标,
603987,康德莱,7.65,3.0997304582210283,0.0,90831.0,7.422,7.324499999999999,0,S,钻潜评级策略,good,1R,7.49,7.22,0.27,7.48,7.23,已突破,66127.0,3.2,不达标,止损0.27元<0.5
000597,东北制药,4.79,1.0548523206751037,0.0,150760.0,4.68,4.6665,0,S,钻潜评级策略,good,1R,4.76,4.51,0.25,4.75,4.52,已突破,214386.0,3.0,不达标,止损0.25元<0.5
600350,山东高速,6.96,2.052785923753664,0.0,381006.0,6.816,6.635,0,A,钻潜评级策略,good,1R,6.63,6.32,0.31,6.62,6.33,已突破,385299.0,3.6,不达标,止损0.31元<0.5
600351,亚宝药业,6.96,2.052785923753664,0.0,381006.0,6.816,6.635,0,A,钻潜评级策略,good,1R,6.63,6.32,0.31,6.62,6.33,已突破,385299.0,3.6,不达标,止损0.31元<0.5
600425,青松建化,3.63,3.7142857142857144,0.0,272737.0,3.532,3.4325,0,A,钻潜评级策略,good,1R,3.59,3.44,0.15,3.58,3.45,已突破,217233.0,9.1,不达标,止损0.15元<0.5
600833,第一医药,11.01,9.990009990009984,0.0,133682.0,10.132,9.790000000000001,0,A,钻潜评级策略,good,1R,10.18,9.64,0.54,10.16,9.66,已突破,72852.0,5.4,达标,
600975,新五丰,29.56,-1.9568822553897136,0.0,38005.0,29.268,28.746999999999996,0,A,钻潜评级策略,good,1R,28.83,27.35,1.48,28.77,27.4,已突破,56908.0,3.7,达标,
600976,健民集团,29.56,-1.9568822553897136,0.0,38005.0,29.268,28.746999999999996,0,A,钻潜评级策略,good,1R,28.83,27.35,1.48,28.77,27.4,已突破,56908.0,3.7,达标,
601199,江南水务,6.06,9.981851179673317,0.0,418424.0,5.6659999999999995,5.694000000000001,0,A,钻潜评级策略,good,1R,5.72,5.44,0.28,5.71,5.45,已突破,296588.0,-0.9,不达标,止损0.28元<0.5
603102,百合股份,39.75,5.971740869101572,0.0,59192.0,35.848,33.2265,0,A,钻潜评级策略,good,1R,31.85,30.4,1.45,31.79,30.46,已突破,11811.0,-0.2,达标,
603235,天新药业,24.68,4.222972972972983,0.0,14997.0,23.944,24.0375,0,A,钻潜评级策略,good,1R,24.28,23.32,0.96,24.23,23.37,已突破,7599.0,5.9,达标,
603676,卫信康,9.47,4.295154185022043,0.0,61856.0,9.006,8.852500000000001,0,A,钻潜评级策略,good,1R,9.11,8.68,0.43,9.09,8.7,已突破,39833.0,2.9,不达标,止损0.43元<0.5
603700,宁水集团,11.79,4.614019520851809,0.0,101425.0,11.402,11.1935,0,A,钻潜评级策略,good,1R,11.44,10.9,0.54,11.42,10.92,已突破,85256.0,1.3,达标,
603776,永安行,21.76,1.6822429906542258,0.0,34731.0,20.926,19.3905,0,A,钻潜评级策略,weak,0.5R,19.31,18.31,1.0,19.27,18.35,已突破,37478.0,1.7,达标,
605005,合兴股份,15.58,1.3003901170351106,0.0,19039.0,15.296000000000001,15.0,0,A,钻潜评级策略,weak,0.5R,15.49,14.67,0.82,15.46,14.7,已突破,18174.0,2.6,达标,
688075,安旭生物,29.72,2.6952315134761484,0.0,11983.0,28.768,28.2815,0,A,钻潜评级策略,weak,0.5R,29.05,27.73,1.32,28.99,27.79,已突破,12336.0,3.5,达标,
