code,name,price,涨幅%,换手率%,成交量,MA5,MA20,RSI,评级,策略,环境,风险档,触发价,止损价,每股风险,TY高,TY低,突破状态,放量阈值,动量20日%,C23,C23原因
600056,中国医药,9.47,0.7446808510638281,0.0,204960.0,9.376000000000001,9.4635,0,S,钻潜评级策略,good,1R,9.68,9.27,0.41,9.66,9.29,未突破,315019.0,3.2,不达标,止损0.41元<0.5
600817,宇通重工,9.44,1.1789924973204746,0.0,24235.0,9.338,9.1875,0,S,钻潜评级策略,good,1R,9.54,9.15,0.39,9.52,9.17,未突破,33030.0,5.1,不达标,止损0.39元<0.5
603566,普莱柯,10.56,3.125,0.0,58444.0,10.328,10.356,0,S,钻潜评级策略,good,1R,10.6,10.16,0.44,10.58,10.18,未突破,53007.0,3.2,不达标,止损0.44元<0.5
600182,S佳通,13.12,0.38255547054322214,0.0,18040.0,13.078,12.89635763866759,0,A,钻潜评级策略,good,1R,13.29,12.9,0.39,13.26,12.93,未突破,24893.0,3.4,不达标,止损0.39元<0.5
600283,钱江水利,8.06,2.2842639593908753,0.0,61512.0,7.9719999999999995,7.780500000000001,0,A,钻潜评级策略,bad,0.5R,8.14,7.8,0.34,8.12,7.82,未突破,49151.0,5.4,不达标,止损0.34元<0.5
600348,华阳股份,8.72,2.8301886792452935,0.0,322735.0,8.524000000000001,8.532150000572205,0,A,钻潜评级策略,good,1R,8.73,8.28,0.45,8.71,8.3,未突破,461768.0,6.6,不达标,止损0.45元<0.5
600551,时代出版,6.96,1.4577259475218707,0.0,55143.0,6.967999999999999,6.8469999999999995,0,A,钻潜评级策略,weak,0.5R,7.14,6.79,0.35,7.13,6.8,未突破,67708.0,7.9,不达标,止损0.35元<0.5
600789,鲁抗医药,7.56,0.665778961384822,0.0,296113.0,7.448,7.341500000000001,0,A,钻潜评级策略,good,1R,7.67,7.27,0.4,7.65,7.28,未突破,395322.0,10.3,不达标,动量10.3%>10%；止损0.40元<0.5
600925,苏能股份,4.37,2.102803738317749,0.0,112818.0,4.312,4.344,0,A,钻潜评级策略,good,1R,4.41,4.21,0.2,4.4,4.22,未突破,149406.0,2.6,不达标,止损0.20元<0.5
601077,渝农商行,6.46,0.15503875968991832,0.0,846886.0,6.468000000000001,6.624,0,A,钻潜评级策略,weak,0.5R,6.71,6.37,0.34,6.7,6.38,未突破,1064019.0,1.8,不达标,止损0.34元<0.5
601188,龙江交通,2.89,2.1201413427561766,0.0,216945.0,2.866,2.8689999999999998,0,A,钻潜评级策略,weak,0.5R,2.95,2.79,0.16,2.94,2.8,未突破,201514.0,3.9,不达标,止损0.16元<0.5
601952,苏垦农发,8.33,1.0922330097087318,0.0,133620.0,8.268,8.1125,0,A,钻潜评级策略,good,1R,8.42,8.09,0.33,8.4,8.11,未突破,172507.0,6.4,不达标,止损0.33元<0.5
603310,巍华新材,14.92,0.8789722785666143,0.0,14260.0,14.802000000000001,14.542000000000002,0,A,钻潜评级策略,weak,0.5R,14.99,14.56,0.43,14.96,14.59,未突破,25423.0,3.2,不达标,止损0.43元<0.5
603856,东宏股份,11.57,2.935943060498225,0.0,46556.0,11.406,11.2835,0,A,钻潜评级策略,bad,0.5R,11.63,11.16,0.47,11.61,11.18,未突破,58147.0,-4.3,不达标,止损0.47元<0.5
