code,name,price,涨幅%,换手率%,成交量,MA5,MA20,RSI,评级,策略,环境,风险档,触发价,止损价,每股风险,TY高,TY低,突破状态,放量阈值,当前量比,动量20日%,C23,C23原因
600196,复星医药,24.33,0.8706467661691475,0.0,487347.0,23.582,23.500500000000002,0,S,钻潜评级策略,good,1R,23.81,22.59,1.22,23.76,22.64,已突破,364382.0,1.6,-1.0,达标,
601199,江南水务,6.33,4.455445544554459,0.0,567387.0,5.8100000000000005,5.7284999999999995,0,S,钻潜评级策略,good,1R,5.72,5.44,0.28,5.71,5.45,已突破,247113.0,2.76,1.4,不达标,止损0.28元<0.5
603207,小方制药,23.44,-0.9298393913778513,0.0,13021.0,23.026000000000003,22.657000000000004,0,S,钻潜评级策略,good,1R,23.09,22.12,0.97,23.04,22.16,已突破,20088.0,0.78,-3.7,达标,
000597,东北制药,4.83,0.8350730688935215,0.0,169770.0,4.71,4.672,0,S,钻潜评级策略,good,1R,4.76,4.51,0.25,4.75,4.52,已突破,170314.0,1.2,0.8,不达标,止损0.25元<0.5
600425,青松建化,3.59,-1.1019283746556474,0.0,168490.0,3.5480000000000005,3.4445,0,A,钻潜评级策略,good,1R,3.59,3.44,0.15,3.58,3.45,已突破,182720.0,1.11,7.2,不达标,止损0.15元<0.5
600833,第一医药,12.11,9.990917347865569,0.0,380332.0,10.581999999999999,9.898,0,A,钻潜评级策略,good,1R,10.18,9.64,0.54,10.16,9.66,已突破,63856.0,7.15,2.3,达标,
601156,东航物流,18.14,1.5109121432568484,0.0,196749.0,17.554,16.7935,0,A,钻潜评级策略,good,1R,17.58,16.82,0.76,17.54,16.85,已突破,144459.0,1.63,3.6,达标,
601827,三峰环境,8.68,-1.8099547511312264,0.0,84204.0,8.526,8.1755,0,A,钻潜评级策略,good,1R,8.58,8.24,0.34,8.56,8.26,已突破,121270.0,0.83,8.5,不达标,止损0.34元<0.5
603102,百合股份,38.23,-3.823899371069195,0.0,53821.0,36.66799999999999,33.482,0,A,钻潜评级策略,good,1R,31.85,30.4,1.45,31.79,30.46,已突破,12682.0,5.09,-3.8,达标,
603351,威尔药业,26.65,0.5660377358490454,0.0,27907.0,25.588,24.2765,0,A,钻潜评级策略,weak,0.5R,23.85,22.71,1.14,23.8,22.76,已突破,17823.0,1.88,-4.9,达标,
603676,卫信康,9.18,-3.062302006335804,0.0,49627.0,9.080000000000002,8.859,0,A,钻潜评级策略,good,1R,9.11,8.68,0.43,9.09,8.7,已突破,34152.0,1.74,0.7,不达标,止损0.43元<0.5
