code,name,price,涨幅%,换手率%,成交量,MA5,MA20,RSI,评级,策略,环境,风险档,触发价,止损价,每股风险,TY高,TY低,突破状态,放量阈值,当前量比,动量20日%,C23,C23原因
600211,西藏药业,39.25,-1.2081550465642965,0.0,39548.0,39.010000000000005,38.7855,0,S,钻潜评级策略,good,1R,39.68,37.72,1.96,39.6,37.8,未突破,57744.0,0.82,1.0,达标,
000429,粤高速A,13.29,0.30188679245282124,0.0,121514.0,13.946000000000002,14.3385,0,S,钻潜评级策略,weak,0.5R,14.02,13.33,0.69,13.99,13.36,未突破,128725.0,1.13,1.4,达标,
000513,丽珠集团,30.75,0.06508298080052377,0.0,71809.0,30.532,30.79,0,S,钻潜评级策略,good,1R,31.33,29.85,1.48,31.27,29.91,未突破,84814.0,1.02,1.7,达标,
600012,皖通高速,16.08,1.1957205789804748,0.0,84992.0,16.088,17.345999999999997,0,A,钻潜评级策略,weak,0.5R,17.17,16.39,0.78,17.14,16.42,未突破,100166.0,1.02,2.2,达标,
603014,威高血净,33.74,-0.35440047253395557,0.0,25437.0,33.882,32.4875,0,A,钻潜评级策略,good,1R,34.82,33.32,1.5,34.75,33.39,未突破,27639.0,1.1,5.5,达标,
603587,地素时尚,11.73,-0.5089058524172962,0.0,21031.0,11.582,11.620000000000001,0,A,钻潜评级策略,good,1R,12.01,11.43,0.58,11.99,11.45,未突破,26646.0,0.95,3.4,达标,
688289,圣湘生物,15.62,-2.73972602739726,0.0,51602.0,15.616,15.383500000000002,0,A,钻潜评级策略,good,1R,15.91,15.1,0.81,15.88,15.13,未突破,68700.0,0.9,4.3,达标,
603072,天和磁材,32.52,-2.136623532952131,0.0,25201.0,32.75,31.764499999999998,0,B,钻潜评级策略,weak,0.5R,33.54,32.19,1.35,33.47,32.25,未突破,28953.0,1.04,2.6,达标,
000869,张裕A,17.44,-0.6833712984054552,0.0,15843.0,17.474,17.2655,0,B,钻潜评级策略,good,1R,17.89,17.12,0.77,17.85,17.15,未突破,17980.0,1.06,9.2,达标,
002311,海大集团,46.35,-0.5151320025756689,0.0,104448.0,46.684,47.9045,0,B,钻潜评级策略,good,1R,47.84,45.39,2.45,47.74,45.48,未突破,137557.0,0.91,6.6,达标,
