mode,code,date,grade,PT,TY,DN,DL,LK,SF,close,trigger,stop,risk,prbook_warn,triggered_5d,entry_5d,exit_5d,exit_date_5d,stopped_5d,r_5d,triggered_10d,entry_10d,exit_10d,exit_date_10d,stopped_10d,r_10d,triggered_20d,entry_20d,exit_20d,exit_date_20d,stopped_20d,r_20d
prebreak,600727,2000-05-17,S,S,A,C,S,S,A,13.8919,13.2100,12.5700,0.6400,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,000682,2000-12-01,S,S,A,C,S,S,A,15.7715,14.1700,13.5700,0.6000,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600076,2001-01-16,S,S,A,C,S,S,A,11.3986,11.8500,11.2400,0.6100,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600207,2001-03-28,S,S,A,C,S,S,A,16.8095,16.8600,16.1200,0.7400,,1,16.8600,16.4525,2001-04-04,0,-0.5676,1,16.8600,16.1200,2001-04-06,1,-1.0167,1,16.8600,16.1200,2001-04-06,1,-1.0167
prebreak,600062,2009-09-01,S,S,A,C,S,S,A,10.8453,11.2000,10.6200,0.5800,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600486,2009-11-19,S,S,A,C,S,S,A,10.7133,10.1200,9.6000,0.5200,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600600,2009-12-10,S,S,A,C,S,S,A,27.7370,28.6700,27.1800,1.4900,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,1,28.6700,28.0272,2010-01-08,0,-0.4458
prebreak,000869,2010-02-26,S,S,A,C,S,S,A,40.7983,41.5200,39.9100,1.6100,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600875,2010-04-20,S,S,A,C,S,S,A,19.6364,18.2700,17.4800,0.7900,,1,18.2700,20.9683,2010-04-27,0,3.3959,1,18.2700,20.5366,2010-05-05,0,2.8497,1,18.2700,19.0784,2010-05-19,0,1.0051
prebreak,601628,2010-04-20,S,S,A,C,S,S,A,20.7466,21.9700,21.0100,0.9600,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,601628,2010-05-19,S,S,A,C,S,S,A,18.5667,20.1900,19.3200,0.8700,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600150,2010-05-21,S,S,A,C,S,S,A,28.8019,30.2300,29.0300,1.2000,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600685,2010-05-24,S,S,A,C,S,S,A,15.1560,16.8000,16.2300,0.5700,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,601628,2010-05-26,S,S,A,C,S,S,A,18.1458,20.1900,19.3200,0.8700,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,601628,2010-06-02,S,S,A,C,S,S,A,18.1533,18.8300,17.9300,0.9000,,0,0.0000,0.0000,,0,0.0000,1,18.8300,18.9876,2010-06-22,0,0.1592,1,18.8300,19.5359,2010-07-06,0,0.7679
prebreak,600150,2010-06-04,S,S,A,C,S,S,A,28.7255,29.2800,27.8800,1.4000,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600150,2010-06-11,S,S,A,C,S,S,A,28.2894,28.8300,27.7400,1.0900,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600054,2010-08-05,S,S,A,C,S,S,A,11.4860,11.5100,11.0100,0.5000,,1,11.5100,12.1582,2010-08-12,0,1.2781,1,11.5100,12.2277,2010-08-19,0,1.4171,1,11.5100,12.8884,2010-09-02,0,2.7376
prebreak,600600,2010-08-09,S,S,A,C,S,S,A,28.1021,28.0100,26.5700,1.4400,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600150,2010-09-02,S,S,A,C,S,S,A,27.7664,27.8200,26.4100,1.4100,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,601088,2010-09-08,S,S,A,C,S,S,A,9.2076,9.3900,8.8900,0.5000,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,1,9.3900,10.6744,2010-10-18,0,2.5529
prebreak,601628,2010-11-19,S,S,A,C,S,S,A,17.9743,20.5300,19.4800,1.0500,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,002028,2011-02-15,S,S,A,C,S,S,A,12.0084,11.8500,11.3200,0.5300,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,002028,2011-03-01,S,S,A,C,S,S,A,12.0441,12.1800,11.6400,0.5400,,1,12.1800,12.2174,2011-03-08,0,0.0521,1,12.1800,11.8146,2011-03-15,0,-0.6934,1,12.1800,11.7789,2011-03-29,0,-0.7594
prebreak,000668,2011-03-07,S,S,A,C,S,S,A,12.4006,11.9300,11.3600,0.5700,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,002028,2011-03-08,S,S,A,C,S,S,A,12.2174,12.5100,11.8600,0.6500,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600600,2011-04-07,S,S,A,C,S,S,A,25.2730,25.3900,24.3400,1.0500,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600600,2011-04-14,S,S,A,C,S,S,A,26.0138,26.2100,25.0500,1.1600,,0,0.0000,0.0000,,0,0.0000,1,26.2100,25.9823,2011-04-28,0,-0.2134,1,26.2100,27.5820,2011-05-13,0,1.1649
prebreak,600561,2011-04-18,S,S,A,C,S,S,A,11.4396,11.9000,11.3400,0.5600,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600138,2011-04-29,S,S,A,C,S,S,A,8.8979,9.9500,9.4300,0.5200,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600138,2011-05-09,S,S,A,C,S,S,A,8.7830,9.9500,9.4300,0.5200,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600600,2011-06-21,S,S,A,C,S,S,A,26.3527,28.0800,26.5900,1.4900,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600600,2011-07-05,S,S,A,C,S,S,A,27.8106,27.4400,26.2800,1.1600,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600859,2011-07-13,S,S,A,C,S,S,A,25.1620,23.7200,22.7300,0.9900,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
