mode,code,date,grade,PT,TY,DN,DL,LK,SF,close,trigger,stop,risk,prbook_warn,triggered_20d,entry_20d,exit_20d,exit_date_20d,stopped_20d,r_20d
prebreak,002281,2020-01-02,S,S,A,C,S,S,A,29.1459,28.8100,27.5600,1.2500,,0,0.0000,0.0000,,0,0.0000
prebreak,300596,2020-01-03,S,S,A,C,S,S,A,33.7316,33.2700,31.7100,1.5600,,1,33.2700,31.7100,2020-02-03,1,-1.0156
prebreak,600372,2020-01-06,S,S,A,C,S,S,A,15.0036,13.9800,13.3100,0.6700,,0,0.0000,0.0000,,0,0.0000
prebreak,002142,2020-01-07,S,S,A,C,S,S,A,23.8339,23.1600,22.1700,0.9900,,0,0.0000,0.0000,,0,0.0000
prebreak,002558,2020-01-07,S,S,A,C,S,S,A,18.1192,16.7800,16.0100,0.7700,,1,16.7800,16.0100,2020-02-03,1,-1.0159
prebreak,300024,2020-01-07,S,S,A,C,S,S,A,14.7400,14.3900,13.7700,0.6200,,0,0.0000,0.0000,,0,0.0000
prebreak,002281,2020-01-09,S,S,A,C,S,S,A,30.4541,29.9600,28.5100,1.4500,,0,0.0000,0.0000,,0,0.0000
prebreak,300625,2020-01-10,S,S,A,C,S,S,A,13.7966,12.9900,12.2900,0.7000,,1,12.9900,12.2900,2020-02-03,1,-1.0135
prebreak,603899,2020-01-10,S,S,A,C,S,S,A,43.2551,41.8700,39.8400,2.0300,,0,0.0000,0.0000,,0,0.0000
prebreak,002223,2020-01-13,S,S,A,C,S,S,A,18.2773,18.5500,17.8200,0.7300,,1,18.5500,25.5847,2020-02-18,0,9.6112
prebreak,002253,2020-01-13,S,S,A,C,S,S,A,15.2265,14.7300,13.9500,0.7800,,0,0.0000,0.0000,,0,0.0000
prebreak,300718,2020-01-13,S,S,A,C,S,S,A,13.3340,12.8300,12.2400,0.5900,,1,12.8300,13.9717,2020-02-18,0,1.9174
prebreak,002142,2020-01-14,S,S,A,C,S,S,A,23.0883,24.0100,22.9800,1.0300,,0,0.0000,0.0000,,0,0.0000
prebreak,002558,2020-01-14,S,S,A,C,S,S,A,17.6842,16.7800,16.0100,0.7700,,1,16.7800,17.2128,2020-01-17,0,0.5452
prebreak,300024,2020-01-14,S,S,A,C,S,S,A,14.6400,14.9400,14.2500,0.6900,,1,14.9400,14.2500,2020-02-03,1,-1.0158
prebreak,600118,2020-01-14,S,S,A,C,S,S,A,22.0064,21.0300,20.2200,0.8100,,0,0.0000,0.0000,,0,0.0000
prebreak,002153,2020-01-15,S,S,A,C,S,S,A,15.7604,15.8100,15.1200,0.6900,,0,0.0000,0.0000,,0,0.0000
prebreak,300423,2020-01-15,S,S,A,C,S,S,A,13.3793,13.6700,13.0800,0.5900,,1,13.6700,13.0800,2020-02-03,1,-1.0170
prebreak,300642,2020-01-15,S,S,A,C,S,S,A,23.6989,22.2600,21.3100,0.9500,,0,0.0000,0.0000,,0,0.0000
prebreak,603578,2020-01-15,S,S,A,C,S,S,A,11.9141,10.7300,10.2200,0.5100,,1,10.7300,11.7382,2020-01-20,0,1.9596
prebreak,300625,2020-01-17,S,S,A,C,S,S,A,13.5750,12.9900,12.2900,0.7000,,0,0.0000,0.0000,,0,0.0000
prebreak,600498,2020-01-17,S,S,A,C,S,S,A,26.1592,26.9100,25.9800,0.9300,,1,26.9100,27.6295,2020-02-24,0,0.7511
prebreak,603899,2020-01-17,S,S,A,C,S,S,A,43.7601,44.4400,42.8300,1.6100,,0,0.0000,0.0000,,0,0.0000
prebreak,001979,2020-01-20,S,S,A,C,S,S,A,14.8845,15.9000,15.2900,0.6100,,0,0.0000,0.0000,,0,0.0000
prebreak,603578,2020-01-22,S,S,A,C,S,S,A,11.3812,10.7300,10.2200,0.5100,,0,0.0000,0.0000,,0,0.0000
