mode,code,date,grade,PT,TY,DN,DL,LK,SF,close,trigger,stop,risk,prbook_warn
prebreak,002281,2020-01-02,S,S,A,C,S,S,A,29.1459,28.81,27.56,1.25,
prebreak,002389,2020-01-02,S,S,A,C,S,S,A,11.0958,11.23,10.78,0.45,
prebreak,600280,2020-01-02,S,S,A,A,S,S,A,2.81,2.83,2.68,0.15,
prebreak,603355,2020-01-02,S,S,A,C,S,S,A,14.3362,14.42,13.76,0.66,
prebreak,603380,2020-01-02,S,S,A,C,S,S,A,15.0299,14.66,13.91,0.75,
prebreak,002202,2020-01-03,S,S,A,B,S,S,A,11.4018,10.73,10.3,0.43,
prebreak,002375,2020-01-03,S,S,A,B,S,S,A,5.4683,5.4,5.16,0.24,
prebreak,300596,2020-01-03,S,S,A,C,S,S,A,33.7316,33.27,31.71,1.56,
prebreak,300625,2020-01-03,S,S,A,C,S,S,A,12.5431,12.6,12.07,0.53,
prebreak,300760,2020-01-03,S,S,A,C,S,S,A,159.3711,163.8,156.38,7.42,
prebreak,600343,2020-01-03,S,S,A,A,S,S,A,9.44,9.32,8.97,0.35,
prebreak,600395,2020-01-03,S,S,A,A,S,S,A,4.5325,4.57,4.38,0.19,
prebreak,600774,2020-01-03,S,S,A,C,S,S,A,10.9464,10.97,10.52,0.45,
prebreak,603517,2020-01-03,S,S,A,C,S,S,A,39.3505,42.26,40.06,2.2,
prebreak,000012,2020-01-06,S,S,A,C,S,S,A,4.3103,4.26,4.04,0.22,
prebreak,001965,2020-01-06,S,S,A,C,S,S,A,6.7497,6.8,6.52,0.28,
prebreak,002301,2020-01-06,S,S,A,C,S,S,A,11.6091,11.95,11.51,0.44,
prebreak,300286,2020-01-06,S,S,A,B,S,S,A,10.7083,10.83,10.31,0.52,
prebreak,600372,2020-01-06,S,S,A,B,S,S,A,15.0036,13.98,13.31,0.67,
prebreak,603819,2020-01-06,S,S,A,C,S,S,A,10.2101,10.33,9.87,0.46,
prebreak,002142,2020-01-07,S,S,A,C,S,S,A,23.8339,23.16,22.17,0.99,
prebreak,002358,2020-01-07,S,S,A,B,S,S,A,7.2216,6.84,6.58,0.26,
prebreak,002558,2020-01-07,S,S,A,A,S,S,A,18.1192,16.78,16.01,0.77,
prebreak,300024,2020-01-07,S,S,A,C,S,S,A,14.74,14.39,13.77,0.62,
prebreak,600742,2020-01-07,S,S,A,A,S,S,A,7.539,7.6,7.24,0.36,
prebreak,601699,2020-01-07,S,S,A,A,S,S,A,5.0068,5.08,4.83,0.25,
prebreak,603878,2020-01-07,S,S,A,C,S,S,A,4.4413,4.26,4.05,0.21,
prebreak,000546,2020-01-08,S,S,A,A,S,S,A,9.7889,10.17,9.76,0.41,
prebreak,000637,2020-01-08,S,S,A,C,S,S,A,4.459,4.47,4.25,0.22,
prebreak,002309,2020-01-08,S,S,A,B,S,S,A,6.89,6.36,6.03,0.33,
prebreak,002585,2020-01-08,S,S,A,C,S,S,A,4.5067,4.41,4.22,0.19,
prebreak,300284,2020-01-08,S,S,A,A,S,S,A,7.4994,7.6,7.23,0.37,
prebreak,300423,2020-01-08,S,S,A,A,S,S,A,13.0278,13.44,12.87,0.57,
prebreak,300642,2020-01-08,S,S,A,B,S,S,A,21.6909,22.26,21.31,0.95,
prebreak,600839,2020-01-08,S,S,A,A,S,S,A,2.8264,2.83,2.69,0.14,
prebreak,600971,2020-01-08,S,S,A,B,S,S,A,3.6852,3.81,3.66,0.15,
prebreak,603298,2020-01-08,S,S,A,C,S,S,A,5.9277,5.5,5.22,0.28,
prebreak,603578,2020-01-08,S,S,A,C,S,S,A,10.7035,10.73,10.22,0.51,
prebreak,603708,2020-01-08,S,S,A,B,S,S,A,21.4856,22.4,21.24,1.16,
prebreak,000031,2020-01-09,S,S,A,C,S,S,A,6.893,7.12,6.79,0.33,
prebreak,000591,2020-01-09,S,S,A,C,S,S,A,3.3046,3.03,2.88,0.15,
prebreak,002281,2020-01-09,S,S,A,S,S,S,A,30.4541,29.96,28.51,1.45,
prebreak,300159,2020-01-09,S,S,A,C,S,S,A,4.19,4.04,3.84,0.2,
prebreak,600280,2020-01-09,S,S,A,C,S,S,A,2.89,2.84,2.68,0.16,
prebreak,603355,2020-01-09,S,S,A,C,S,S,A,15.2673,14.42,13.76,0.66,
prebreak,603416,2020-01-09,S,S,A,C,S,S,A,28.4959,26.54,25.36,1.18,
prebreak,603989,2020-01-09,S,S,A,C,S,S,A,21.263,18.98,18.24,0.74,
prebreak,002030,2020-01-10,S,S,A,C,S,S,A,5.0967,5.19,5.02,0.17,
prebreak,002381,2020-01-10,S,S,A,C,S,S,A,6.7063,6.84,6.56,0.28,
prebreak,002520,2020-01-10,S,S,A,C,S,S,A,7.5115,6.75,6.45,0.3,
prebreak,300041,2020-01-10,S,S,A,B,S,S,A,7.2213,7.3,7.02,0.28,
prebreak,300625,2020-01-10,S,S,A,A,S,S,A,13.7966,12.99,12.29,0.7,
prebreak,300641,2020-01-10,S,S,A,A,S,S,A,4.7627,4.8,4.56,0.24,
prebreak,600343,2020-01-10,S,S,A,B,S,S,A,9.32,9.32,8.97,0.35,
prebreak,603855,2020-01-10,S,S,A,C,S,S,A,7.3634,7.49,7.3,0.19,
prebreak,603896,2020-01-10,S,S,A,C,S,S,A,22.3602,22.05,21.24,0.81,
