mode,code,date,grade,PT,TY,DN,DL,LK,SF,close,trigger,stop,risk,prbook_warn,triggered_5d,entry_5d,exit_5d,exit_date_5d,stopped_5d,r_5d,triggered_10d,entry_10d,exit_10d,exit_date_10d,stopped_10d,r_10d,triggered_20d,entry_20d,exit_20d,exit_date_20d,stopped_20d,r_20d
prebreak,002074,2023-07-03,S,S,A,C,S,S,A,27.6533,27.6100,26.3200,1.2900,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,002773,2023-07-03,S,S,A,C,S,S,A,17.6674,17.5900,16.7000,0.8900,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,300424,2023-07-03,S,S,A,C,S,S,A,14.5783,14.3700,13.7200,0.6500,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,301022,2023-07-03,S,S,A,C,S,S,A,24.2433,23.7200,22.5300,1.1900,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600765,2023-07-03,S,S,A,C,S,S,A,26.4309,24.6000,23.3100,1.2900,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,601607,2023-07-03,S,S,A,C,S,S,A,20.0690,21.5600,20.5700,0.9900,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,603619,2023-07-03,S,S,A,C,S,S,A,15.9500,15.7900,15.0100,0.7800,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,002801,2023-07-04,S,S,A,C,S,S,A,26.0898,23.0100,22.0500,0.9600,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,300457,2023-07-04,S,S,A,C,S,S,A,17.3285,16.7200,16.0400,0.6800,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,300855,2023-07-04,S,S,A,C,S,S,A,36.4916,34.1700,32.4000,1.7700,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600585,2023-07-04,S,S,A,C,S,S,A,21.2314,21.7500,20.9700,0.7800,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,1,21.7500,23.6733,2023-08-01,0,2.4430
prebreak,000893,2023-07-06,S,S,A,C,S,S,A,24.3925,23.1800,22.1400,1.0400,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,002318,2023-07-06,S,S,A,C,S,S,A,15.6783,15.6700,14.9000,0.7700,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,002891,2023-07-06,S,S,A,C,S,S,A,24.1061,23.2600,22.2600,1.0000,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600406,2023-07-06,S,S,A,C,S,S,A,21.7759,21.9500,20.8500,1.1000,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,002635,2023-07-07,S,S,A,C,S,S,A,13.0444,13.4700,12.9400,0.5300,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,002815,2023-07-07,S,S,A,C,S,S,A,12.0463,12.1100,11.5500,0.5600,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,003037,2023-07-07,S,S,A,C,S,S,A,12.2333,12.5700,11.9700,0.6000,,1,12.5700,12.4387,2023-07-11,0,-0.2346,1,12.5700,12.4387,2023-07-11,0,-0.2346,1,12.5700,12.4387,2023-07-11,0,-0.2346
prebreak,301107,2023-07-07,S,S,A,C,S,S,A,16.6934,14.6900,14.1400,0.5500,,1,14.6900,17.0441,2023-07-11,0,4.2572,1,14.6900,17.0441,2023-07-11,0,4.2572,1,14.6900,17.0441,2023-07-11,0,4.2572
prebreak,600827,2023-07-07,S,S,A,C,S,S,A,12.0260,13.0100,12.3800,0.6300,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,1,13.0100,13.4367,2023-08-04,0,0.6612
prebreak,600938,2023-07-07,S,S,A,C,S,S,A,16.1537,15.6400,14.9300,0.7100,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,603191,2023-07-07,S,S,A,C,S,S,A,18.6100,18.2200,17.2400,0.9800,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,688778,2023-07-07,S,S,A,C,S,S,A,38.1724,40.0400,38.0500,1.9900,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,000009,2023-07-10,S,S,A,C,S,S,A,11.7102,11.9800,11.3700,0.6100,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,002074,2023-07-10,S,S,A,C,S,S,A,27.2384,27.6100,26.3200,1.2900,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,002773,2023-07-10,S,S,A,C,S,S,A,17.5929,17.5900,16.7000,0.8900,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,300683,2023-07-10,S,S,A,C,S,S,A,39.7759,37.7600,35.9600,1.8000,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600980,2023-07-10,S,S,A,C,S,S,A,15.4203,15.2500,14.5300,0.7200,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,601607,2023-07-10,S,S,A,C,S,S,A,19.4339,20.1300,19.0800,1.0500,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,000408,2023-07-11,S,S,A,C,S,S,A,20.6289,21.0500,20.1000,0.9500,,0,0.0000,0.0000,,0,0.0000,1,21.0500,21.2026,2023-07-21,0,0.1437,1,21.0500,21.2026,2023-07-21,0,0.1437
prebreak,300416,2023-07-11,S,S,A,C,S,S,A,20.3571,21.3500,20.3000,1.0500,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,300772,2023-07-11,S,S,A,C,S,S,A,12.9865,13.2400,12.6000,0.6400,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,000893,2023-07-13,S,S,A,C,S,S,A,24.6918,25.0900,24.0000,1.0900,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,002318,2023-07-13,S,S,A,C,S,S,A,15.5246,15.6700,14.9000,0.7700,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,300629,2023-07-13,S,S,A,C,S,S,A,19.8431,21.2200,20.1800,1.0400,,0,0.0000,0.0000,,0,0.0000,1,21.2200,20.7302,2023-07-27,0,-0.4861,1,21.2200,20.5627,2023-07-28,0,-0.6472
prebreak,002635,2023-07-14,S,S,A,C,S,S,A,13.4652,13.5700,12.8400,0.7300,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,002815,2023-07-14,S,S,A,C,S,S,A,12.2571,12.3800,11.7800,0.6000,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600827,2023-07-14,S,S,A,C,S,S,A,11.8582,12.2000,11.6300,0.5700,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,002402,2023-07-17,S,S,A,C,S,S,A,16.3587,17.1000,16.2500,0.8500,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,300046,2023-07-17,S,S,A,C,S,S,A,17.9609,18.1400,17.3200,0.8200,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,300138,2023-07-17,S,S,A,C,S,S,A,15.8059,16.2300,15.5700,0.6600,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,300568,2023-07-17,S,S,A,C,S,S,A,16.2587,17.0900,16.2600,0.8300,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,605099,2023-07-17,S,S,A,C,S,S,A,22.7797,21.6700,20.6500,1.0200,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,002683,2023-07-18,S,S,A,C,S,S,A,25.7917,26.6600,25.4700,1.1900,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,300416,2023-07-18,S,S,A,C,S,S,A,18.9100,21.3500,20.3000,1.0500,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,300855,2023-07-18,S,S,A,C,S,S,A,33.5032,35.4900,33.7200,1.7700,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,000963,2023-07-19,S,S,A,C,S,S,A,40.6411,42.4900,40.4100,2.0800,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,002984,2023-07-19,S,S,A,C,S,S,A,22.1680,21.4200,20.5100,0.9100,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,300523,2023-07-19,S,S,A,C,S,S,A,22.8400,24.5500,23.3000,1.2500,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600199,2023-07-19,S,S,A,C,S,S,A,24.9900,25.8900,24.7600,1.1300,,1,25.8900,26.6400,2023-07-26,0,0.6459,1,25.8900,27.5900,2023-08-02,0,1.4861,1,25.8900,25.9300,2023-08-16,0,0.0180
prebreak,601688,2023-07-19,S,S,A,C,S,S,A,13.3913,13.4500,12.9000,0.5500,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,603206,2023-07-19,S,S,A,C,S,S,A,17.3919,17.1400,16.2800,0.8600,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,002635,2023-07-21,S,S,A,C,S,S,A,12.8627,13.6600,12.9600,0.7000,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,002815,2023-07-21,S,S,A,C,S,S,A,11.5288,12.4700,11.9600,0.5100,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600206,2023-07-21,S,S,A,C,S,S,A,12.7298,13.2600,12.5800,0.6800,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600827,2023-07-21,S,S,A,C,S,S,A,12.0446,12.1600,11.5300,0.6300,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,300390,2023-07-24,S,S,A,C,S,S,A,28.9218,32.6400,31.3100,1.3300,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,300400,2023-07-24,S,S,A,C,S,S,A,14.5373,15.0500,14.4700,0.5800,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600096,2023-07-24,S,S,A,C,S,S,A,15.4290,15.2700,14.6200,0.6500,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,601966,2023-07-24,S,S,A,C,S,S,A,22.3525,21.6600,20.5700,1.0900,,1,21.6600,22.3714,2023-07-26,0,0.6371,1,21.6600,22.3714,2023-07-26,0,0.6371,1,21.6600,22.3714,2023-07-26,0,0.6371
prebreak,002273,2023-07-25,S,S,A,C,S,S,A,11.3434,11.6300,11.1000,0.5300,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
