date,balance
2023-07-04,5600.0
2023-08-01,4376.35
2023-08-03,3990.18
2023-08-09,4226.54
2023-08-18,4299.14
2023-08-22,5587.49
2023-09-14,4176.32
2023-09-19,4155.01
2023-10-13,4073.21
2023-10-23,3681.32
2023-11-13,3706.77
2023-11-21,3926.07
2023-12-05,3853.31
2023-12-11,3815.79
2023-12-15,3716.28
2024-01-05,3840.86
2024-01-08,5119.22
2024-01-22,3774.35
2024-02-06,3824.42
2024-02-28,3679.09
2024-03-13,3800.24
2024-03-28,3744.38
2024-04-12,3135.08
2024-04-23,3073.81
2024-05-06,2405.41
2024-05-24,3340.32
2024-06-03,3258.82
2024-06-12,2880.06
2024-06-24,3473.26
2024-07-10,3630.82
2024-07-23,3558.25
2024-08-02,4116.06
2024-09-09,4044.82
2024-09-11,3612.61
2024-10-09,3550.42
2024-10-21,3006.87
2024-11-07,3363.33
2024-11-11,3294.08
2024-11-18,4022.14
2024-11-22,5021.64
2025-01-08,3580.54
2025-01-16,3571.24
2025-01-21,3487.76
2025-02-14,3467.61
2025-02-25,3594.36
2025-03-14,4868.58
2025-05-30,3130.78
2025-06-03,4986.78
2025-06-30,3494.82
2025-07-07,4882.01
2025-08-05,3477.77
2025-08-22,3404.87
2025-09-02,3615.22
2025-09-18,3476.74
2025-09-23,3080.07
2025-10-27,3478.19
2025-11-04,3096.7
2025-11-21,3426.14
2025-12-03,3654.09
2025-12-10,3574.25
2025-12-17,3698.93
2026-01-09,3661.68
2026-01-16,3586.37
2026-01-27,3604.09
2026-02-13,3799.87
2026-03-04,3965.63
2026-03-02,5070.08
2026-03-18,3332.33
2026-04-01,3792.53
2026-04-16,3292.66
2026-04-30,2757.35
2026-04-30,5252.1
2026-05-26,3647.93
2026-05-28,5112.2
2026-06-08,3368.13
2026-06-22,3488.59
2026-06-24,3909.4
2026-06-26,4839.93
2026-07-16,3768.84
2026-07-27,4765.34
