trade_id,date,symbol,name,direction,market,entry_price,stop_loss,trail_stop,volume,grade_at_entry,ty_high,ty_low,highest,lowest,status,exit_price,exit_date,exit_reason,r_multiple,pnl,env_scale,phase,created_date
SIM2026080802074600,2026-08-10,600196,复星医药,long,stock,24.0989,22.59,,1800,S,23.76,22.64,open,,,,,,,,0.5,confirmed,2026-08-08
SIM2026080802074601,2026-08-10,600833,第一医药,long,stock,11.2627,9.64,,4100,A,10.16,9.66,closed,,,12.11,2026-08-11,"主动出场(斜率骤变,波幅20.2%,放量7.4x); half_exit(R=0.5)",0.51,3413.56,0.5,confirmed,2026-08-08
SIM2026080802074602,2026-08-10,603970,中农立华,long,stock,10.58,10.04,,1800,A,10.56,10.06,open,,,,,,,,0.5,half,2026-08-08
SIM2026080802074603,2026-08-10,605005,合兴股份,long,stock,15.49,14.67,,1200,A,15.46,14.7,open,,,,,,,,0.5,half,2026-08-08
SIM2026080802074604,2026-08-10,688739,成大生物,long,stock,20.7508,19.77,,2500,A,20.61,19.81,open,,,,,,,,0.5,confirmed,2026-08-08
SIM2026080802074605,2026-08-10,000963,华东医药,long,stock,29.91,28.36,,600,A,29.85,28.42,open,,,,,,,,0.5,half,2026-08-08
SIM2026080802074606,2026-08-10,301508,中机认检,long,stock,23.89,22.67,,800,B,23.84,22.72,open,,,,,,,,0.5,half,2026-08-08
SIM2026081019093600,2026-08-11,600315,上海家化,long,stock,18.12,17.19,,1000,S,18.08,17.22,open,,,,,,,,0.5,half,2026-08-10
SIM2026081019093601,2026-08-10,603043,广州酒家,long,stock,14.41,13.77,,1500,S,14.38,13.8,pending,,,,,,,,0.5,half,2026-08-10
SIM2026081019093602,2026-08-10,000429,粤高速A,long,stock,13.45,12.78,,1400,S,13.42,12.81,pending,,,,,,,,0.5,half,2026-08-10
SIM2026081019093603,2026-08-10,603210,泰鸿万立,long,stock,13.93,13.38,,1800,A,13.9,13.41,pending,,,,,,,,0.5,half,2026-08-10
SIM2026081019093604,2026-08-10,603508,思维列控,long,stock,23.67,22.85,,1200,A,23.62,22.9,pending,,,,,,,,0.5,half,2026-08-10
SIM2026081019093605,2026-08-10,603587,地素时尚,long,stock,12.01,11.43,,1700,A,11.99,11.45,pending,,,,,,,,0.5,half,2026-08-10
SIM2026081218374800,2026-08-12,600315,上海家化,long,stock,18.33,17.39,,1300,S,18.29,17.42,,,pending,,,,,,0.5,half,2026-08-12
SIM2026081218374801,2026-08-12,603368,柳药集团,long,stock,15.94,15.25,,1800,S,15.91,15.28,,,pending,,,,,,0.5,half,2026-08-12
SIM2026081218374802,2026-08-12,300453,三鑫医疗,long,stock,9.76,9.26,,2500,S,9.74,9.28,,,pending,,,,,,0.5,half,2026-08-12
