trade_id,date,symbol,name,grade,trigger,stop,status,exit_reason,r,note
SIM2026080802074600,2026-08-08,600196,复星医药,S,23.81,22.59,成交,,,到价成交
SIM2026080802074601,2026-08-08,600833,第一医药,A,10.18,9.64,兑现,"主动出场(斜率骤变,波幅20.2%,放量7.4x); half_exit(R=0.5)",0.51,四层出场
SIM2026080802074602,2026-08-08,603970,中农立华,A,10.58,10.04,成交,,,到价成交
SIM2026080802074603,2026-08-08,605005,合兴股份,A,15.49,14.67,成交,,,到价成交
SIM2026080802074604,2026-08-08,688739,成大生物,A,20.65,19.77,成交,,,到价成交
SIM2026080802074605,2026-08-08,000963,华东医药,A,29.91,28.36,成交,,,到价成交
SIM2026080802074606,2026-08-08,301508,中机认检,B,23.89,22.67,成交,,,到价成交
SIM2026080804031600,2026-08-08,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026080804031601,2026-08-08,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026080804434800,2026-08-08,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026080804434801,2026-08-08,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026080804441800,2026-08-08,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026080804441801,2026-08-08,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026080804444000,2026-08-08,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026080804444001,2026-08-08,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081019093600,2026-08-10,600315,上海家化,S,18.12,17.19,成交,,,到价成交
SIM2026081019093601,2026-08-10,603043,广州酒家,S,14.41,13.77,跟踪中,,,模拟条件单挂单
SIM2026081019093602,2026-08-10,000429,粤高速A,S,13.45,12.78,跟踪中,,,模拟条件单挂单
SIM2026081019093603,2026-08-10,603210,泰鸿万立,A,13.93,13.38,跟踪中,,,模拟条件单挂单
SIM2026081019093604,2026-08-10,603508,思维列控,A,23.67,22.85,跟踪中,,,模拟条件单挂单
SIM2026081019093605,2026-08-10,603587,地素时尚,A,12.01,11.43,跟踪中,,,模拟条件单挂单
SIM2026081100040500,2026-08-11,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081100040501,2026-08-11,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081103561400,2026-08-11,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081103561401,2026-08-11,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081103562400,2026-08-11,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081103562401,2026-08-11,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081103564800,2026-08-11,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081103564801,2026-08-11,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081103570800,2026-08-11,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081103570801,2026-08-11,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081104050200,2026-08-11,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081104050201,2026-08-11,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081104425700,2026-08-11,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081104425701,2026-08-11,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081106331400,2026-08-11,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081106331401,2026-08-11,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081106332400,2026-08-11,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081106332401,2026-08-11,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081106344800,2026-08-11,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081106344801,2026-08-11,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081106354200,2026-08-11,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081106354201,2026-08-11,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081106362000,2026-08-11,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081106362001,2026-08-11,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081106372900,2026-08-11,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081106372901,2026-08-11,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081106380900,2026-08-11,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081106380901,2026-08-11,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081106391400,2026-08-11,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081106391401,2026-08-11,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081106395900,2026-08-11,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081106395901,2026-08-11,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081106403800,2026-08-11,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081106403801,2026-08-11,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081106413500,2026-08-11,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081106413501,2026-08-11,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081107084600,2026-08-11,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081107084601,2026-08-11,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081107121000,2026-08-11,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081107121001,2026-08-11,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081107133400,2026-08-11,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081107133401,2026-08-11,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081107144100,2026-08-11,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081107144101,2026-08-11,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081107260000,2026-08-11,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081107260001,2026-08-11,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081107271700,2026-08-11,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081107271701,2026-08-11,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081108271000,2026-08-11,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081108271001,2026-08-11,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081118255600,2026-08-11,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081118255601,2026-08-11,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081118263300,2026-08-11,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081118263301,2026-08-11,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081120430300,2026-08-11,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081120430301,2026-08-11,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081120432500,2026-08-11,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081120432501,2026-08-11,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081120440200,2026-08-11,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081120440201,2026-08-11,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081120445100,2026-08-11,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081120445101,2026-08-11,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
